Clause	Title	Release	Applicability	Release Applicability	Comments
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 16	R99	C_RF10	RA99	UEs supporting FDD and downlink RMC 384 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 17	R99	R	RA99	UEs supporting FDD 
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 18	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 19	R99	C_RF09	RA99	UEs supporting FDD and downlink RMC 144 kbps
	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance / Test 20	R99	C_RF10	RA99	UEs supporting FDD and downlink RMC 384 kbps
7.3.2	Demodulation of DCH in Multi-path Fading Propagation conditions / Single Link Performance when (DL_DCH_FET_Config) is configured by higher layers / Test 1	Rel-12	C_RF145	RA12	UEs supporting FDD and DCH Enhancements
7.4.1	Demodulation of DCH in Moving Propagation conditions / Single Link Performance / Test 1	R99	R	RA99	UEs supporting FDD
	Demodulation of DCH in Moving Propagation conditions / Single Link Performance / Test 2	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
7.5.1	Demodulation of DCH in Birth-Death Propagation conditions / Single Link Performance / Test 1	R99	R	RA99	UEs supporting FDD
	Demodulation of DCH in Birth-Death Propagation conditions / Single Link Performance / Test 2	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
7.5A.1	Demodulation of DCH in high speed train condition/ Single Link Performance/ Test1	Rel-7	R	RA7	UEs supporting FDD
7.6.1	Demodulation of DCH in downlink Transmit diversity modes / Demodulation of DCH in open-loop transmit diversity mode / Test 1	R99	R	RA99	UEs supporting FDD
7.6.2	Demodulation of DCH in downlink Transmit diversity modes / Demodulation of DCH in closed loop transmit diversity mode / Test 1	R99	R	RA99	UEs supporting FDD
	Demodulation of DCH in downlink Transmit diversity modes / Demodulation of DCH in closed loop transmit diversity mode / Test 2	R99 and Rel-4 only	R	RF_RO_02	UEs supporting FDD
7.6.3	Demodulation of DCH in downlink Transmit diversity modes / Demodulation of DCH in site selection diversity transmission power control mode / Test 1	R99 and Rel-4 only	R	RF_RO_02	UEs supporting FDD
	Demodulation of DCH in downlink Transmit diversity modes / Demodulation of DCH in site selection diversity transmission power control mode / Test 2	R99 and Rel-4 only	R	RF_RO_02	UEs supporting FDD
	Demodulation of DCH in downlink Transmit diversity modes / Demodulation of DCH in site selection diversity transmission power control mode / Test 3	R99 and Rel-4 only	R	RF_RO_02	UEs supporting FDD
	Demodulation of DCH in downlink Transmit diversity modes / Demodulation of DCH in site selection diversity transmission power control mode / Test 4	R99 and Rel-4 only	R	RF_RO_02	UEs supporting FDD
7.7.1	Demodulation in Handover conditions / Demodulation of DCH in Inter-Cell Soft Handover / Test 1 (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	R	RF_RO_03	UEs supporting FDD
	Demodulation in Handover conditions / Demodulation of DCH in Inter-Cell Soft Handover / Test 2 (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	C_RF08	RF_RO_03	UEs supporting FDD and downlink RMC 64 kbps
	Demodulation in Handover conditions / Demodulation of DCH in Inter-Cell Soft Handover) / Test 3 (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	C_RF09	RF_RO_03	UEs supporting FDD and downlink RMC 144 kbps
	Demodulation in Handover conditions / Demodulation of DCH in Inter-Cell Soft Handover) / Test 4 (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	C_RF10	RF_RO_03	UEs supporting FDD and downlink RMC 384 kbps
7.7.1A	Demodulation in Handover conditions / Demodulation of DCH in Inter-Cell Soft Handover / Test 1 (Release 6 and later)	Rel-6	R	RA6	UEs supporting FDD
	Demodulation in Handover conditions / Demodulation of DCH in Inter-Cell Soft Handover / Test 2 (Release 6 and later)	Rel-6	C_RF08	RA6	UEs supporting FDD and downlink RMC 64 kbps
	Demodulation in Handover conditions / Demodulation of DCH in Inter-Cell Soft Handover) / Test 3 (Release 6 and later)	Rel-6	C_RF09	RA6	UEs supporting FDD and downlink RMC 144 kbps
	Demodulation in Handover conditions / Demodulation of DCH in Inter-Cell Soft Handover) / Test 4 (Release 6 and later)	Rel-6	C_RF10	RA6	UEs supporting FDD and downlink RMC 384 kbps
7.7.1B	Demodulation in Handover conditions / Demodulation of DCH in Inter-Cell soft handover (DL_DCH_FET_Config) / Test1	Rel-12	C_RF145	RA12	UEs supporting FDD and DCH Enhancements
7.7.2	Demodulation in Handover conditions / Combining of TPC commands from radio links of different radio link sets / Test 1	R99	R	R199	UEs supporting FDD
	Demodulation in Handover conditions / Combining of TPC commands from radio links of different radio link sets / Test 2	R99	R	RA99	UEs supporting FDD
7.7.2A	Demodulation in Handover conditions / Combining of TPC commands from radio links of different radio link sets (DL_DCH_FET_Config) / Test1	Rel-12	C_RF145	RA12	UEs supporting FDD and DCH Enhancements
7.7.3	Demodulation in Handover conditions / Combining of reliable TPC commands from radio links of different radio link sets / Test 1	R99	R	RA99	UEs supporting FDD
	Demodulation in Handover conditions / Combining of reliable TPC commands from radio links of different radio link sets / Test 2	R99	R	RA99	UEs supporting FDD
7.7.3A	Combining of reliable TPC commands from radio links of different radio link sets when DL_DCH_FET_Config [10] is configured by higher layers	Rel-12	C_RF145	RA12	UEs supporting FDD and DCH Enhancements
7.8.1	Power control in downlink / Power control in the downlink, constant BLER target (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	R	RF_RO_03	UEs supporting FDD
7.8.1A	Power control in downlink / Power control in the downlink, constant BLER target / Test 1 (Release 6 and later)	Rel-6	R	RA6	UEs supporting FDD
	Power control in downlink / Power control in the downlink, constant BLER target / Test 2 (Release 6 and later)	Rel-6	R	RA6	UEs supporting FDD
	Power control in downlink / Power control in the downlink, constant BLER target / Test 3 (Release 6 and later)	Rel-6	C_RF34	RA6	UEs supporting FDD and downlink RMC2 64 kbps
	Power control in downlink / Power control in the downlink, constant BLER target / Test 4 (Release 6 and later)	Rel-6	C_RF34	RA6	UEs supporting FDD and downlink RMC2 64 kbps
7.8.1B	Power control in the downlink, constant BLER target when DL_DCH_FET_Config is configured by higher layers	Rel-12	C_RF145	RA12	UEs supporting FDD and DCH Enhancements
7.8.2	Power control in downlink / Power control in the downlink, initial convergence / Test 1	R99	R	RA99	UEs supporting FDD 
	Power control in downlink / Power control in the downlink, initial convergence / Test 2	R99	R	RA99	UEs supporting FDD 
	Power control in downlink / Power control in the downlink, initial convergence / Test 3	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
	Power control in downlink / Power control in the downlink, initial convergence / Test 4	R99	C_RF08	RA99	UEs supporting FDD and downlink RMC 64 kbps
7.8.2A	Power control in the downlink, initial convergence when DL_DCH_FET_Config is configured by higher layers	Rel-12	C_RF145	RA12	UEs supporting FDD and DCH Enhancements
7.8.3	Power control in downlink Power control in the downlink, wind up effects / Test 1 (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	R	RF_RO_03	UEs supporting FDD 
7.8.3A	Power control in downlink Power control in the downlink, wind up effects / Test 1 (Release 6 and later)	Rel-6	R	RA6	UEs supporting FDD
7.8.3B	Power control in the downlink, wind up effects (Release 6 and later) when DL_DCH_FET_Config is configured by higher layers	Rel-12	C_RF145	RA12	UEs supporting FDD and DCH Enhancements
7.8.4	Power control in the downlink, different transport formats	Rel-5	R	RA5	UEs supporting FDD
7.8.4A	Power control in the downlink, different transport formats when DL_DCH_FET_Config is configured by higher layers	Rel-12	C_RF145	RA12	UEs supporting FDD and DCH Enhancements
7.8.5	Power control in the downlink for F-DPCH	Rel-6	C_RF39	RA6	UEs supporting FDD and HS-PDSCH and F-DPCH
7.9.1	Downlink compressed mode / Single link performance / Test 1 (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	C_RF04	RF_RO_03	UEs supporting FDD and downlink compressed mode
	Downlink compressed mode / Single link performance / Test 2 (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	C_RF04	RF_RO_03	UEs supporting FDD and downlink compressed mode
	Downlink compressed mode / Single link performance / Test 3 (Release 4 and earlier)	R99 and Rel-4 only	C_RF04	RF_RO_02	UEs supporting FDD and downlink compressed mode
	Downlink compressed mode / Single link performance / Test 4 (Release 4 and earlier)	R99 and Rel-4 only	C_RF04	RF_RO_02	UEs supporting FDD and downlink compressed mode
7.9.1A	Downlink compressed mode / Single link performance / Test 1 (Release 6 and later)	Rel-6	C_RF04	RA6	UEs supporting FDD and downlink compressed mode
	Downlink compressed mode / Single link performance / Test 2 (Release 6 and later)	Rel-6	C_RF04	RA6	UEs supporting FDD and downlink compressed mode
7.10	Blind transport format detection / Test 1	R99	R	RA99	UEs supporting FDD
	Blind transport format detection / Test 2	R99	R	RA99	UEs supporting FDD
	Blind transport format detection / Test 3	R99	R	RA99	UEs supporting FDD
	Blind transport format detection /  Test 4	R99	R	RA99	UEs supporting FDD
	Blind transport format detection /  Test 5	R99	R	RA99	UEs supporting FDD
	Blind transport format detection /  Test 6	R99	R	RA99	UEs supporting FDD
7.11	Demodulation of Paging Channel (PCH)	Rel-4	C_RF12 	RA4	UEs supporting FDD Packet Switched Data
7.12	Detection of Acquisition Indicator (AI)	Rel-4	R	RA4	UEs supporting FDD
7.12A	Detection of E-DCH Acquisition Indicator (E-AI)	Rel-8	C_RF71	RA8	UEs supporting Enhanced Uplink on CELL_FACH state
7.13	UE UL power control operation with discontinuous UL DPCCH transmission operation	Rel-7	C_RF54	RA7	UE supporting FDD and DPCCH Discontinuous Transmission
8.2.2.1	Cell Re-Selection - Scenario 1: Single carrier case	R99	R	RA99	UEs supporting FDD
8.2.2.2	Cell Re-Selection - Scenario 2: Multi carrier case	R99	R	RA99	UEs supporting FDD
8.2.3.1	UTRAN to GSM Cell Re-Selection - Scenario 1: Both UTRA and GSM level changed	R99	C_RF05	RA99	UEs supporting FDD and GSM
8.2.3.2	UTRAN to GSM Cell Re-Selection - Scenario 2: Only UTRA level changed	R99	C_RF05	RA99	UEs supporting FDD and GSM
8.2.3.3	UTRAN to GSM Cell Re-Selection - Scenario 3: HCS with only UTRA level changed	Rel-6	C_RF05	RA6	UEs supporting FDD and GSM
8.2.4	FDD/TDD Cell Re-selection	R99	C_RF06	RA99	UE supporting FDD and TDD
8.2.5.1	UTRAN to E-UTRA Cell Re-Selection / E-UTRA is of higher priority	Rel-8	C_RF73	RA8	UE supporting FDD and E-UTRAN FDD
8.2.5.2	UTRAN to E-UTRA Cell Re-Selection / E-UTRA is of lower priority	Rel-8	C_RF73	RA8	UE supporting FDD and E-UTRAN FDD
8.2.5.3	RSRQ based reselection when E-UTRA FDD is of higher priority	Rel-11	C_RF73	RA11	UE supporting FDD and E-UTRAN FDD
8.3.1	UTRAN Connected Mode Mobility FDD/FDD Soft Handover	R99	R	RA99	UEs supporting FDD
8.3.2.1	UTRAN Connected Mode Mobility - FDD/FDD Hard Handover to intra-frequency cell	R99	R	RA99	UEs supporting FDD
8.3.2.2	FDD/FDD Hard Handover to inter-frequency cell	R99	R	RA99	UEs supporting FDD
8.3.3	FDD/TDD Handover	R99 and Rel-4 only	C_RF06	RF_RO_02	UEs supporting FDD and TDD
8.3.4	Inter-system Handover from UTRAN FDD to GSM	R99	C_RF27	RA99	UEs supporting FDD and GSM and supporting speech.
8.3.4a	Inter-system Handover from UTRAN FDD to E-UTRAN FDD	Rel-8	C_RF107	RA8	UE supporting FDD and E-UTRAN FDD and inter-RAT PS handover to E-UTRA(FDD) from UTRA and EUTRA Feature Group Indicator 2
8.3.4b	Inter-system Handover from UTRAN FDD to E-UTRAN TDD	Rel-8	C_RF108	RA8	UE supporting FDD and E-UTRAN TDD and inter-RAT PS handover to E-UTRA(TDD) from EUTRA and UTRA Feature Group Indicator 2
8.3.4c	Inter-system Handover from UTRAN FDD to E-UTRAN FDD: Unknown Target Cell	Rel-8	C_RF107	RA8	UE supporting FDD and E-UTRAN FDD and inter-RAT PS handover to E-UTRA(FDD) from UTRA and EUTRA Feature Group Indicator 2
8.3.4d	Inter-system Handover from UTRAN FDD to E-UTRAN TDD; Unknown Target Cell	Rel-8	C_RF108	RA8	UE supporting FDD and E-UTRAN TDD and inter-RAT PS handover to E-UTRA(TDD) from UTRA and EUTRA Feature Group Indicator 2
8.3.5.1	Cell Re-selection in CELL_FACH - One frequency present in neighbour list and FACH measurement occasions configured	R99	R	RA99	UEs supporting FDD
8.3.5.1a	Cell Re-selection in CELL_FACH - One frequency present in neighbour list and HS-DSCH DRX configured	Rel-11	C_RF131	RA11	UEs supporting FDD and HS-DSCH DRX operation in CELL_FACH state
8.3.5.2	Cell Re-selection in CELL_FACH - Two frequencies present in the neighbour list and FACH measurement occasions configured	R99	R	RA99	UEs supporting FDD
8.3.5.2a	Cell Re-selection in CELL_FACH - Two frequencies present in the neighbour list and HS-DSCH DRX configured (Absolute priority levels not configured)	Rel-11	C_RF131	RA11	UEs supporting FDD and HS-DSCH DRX operation in CELL_FACH state
8.3.5.2b	Cell Re-selection in CELL_FACH - Two frequencies present in the neighbour list and HS-DSCH DRX configured (Absolute priority levels configured)	Rel-11	C_RF131	RA11	UEs supporting FDD and HS-DSCH DRX operation in CELL_FACH state
8.3.5.2c	Cell Re-selection in CELL_FACH - Two frequencies present in the neighbour list and HS-DSCH 2nd DRX configured (Absolute priority levels not configured)	Rel-11	C_RF132	RA11	UEs supporting FDD and HS-DSCH DRX operation with second DRX cycle in CELL_FACH state
8.3.5.2d	Cell Re-selection in CELL_FACH - Two frequencies present in the neighbour list and HS-DSCH 2nd DRX configured (Absolute priority levels configured)	Rel-11	C_RF132	RA11	UEs supporting FDD and HS-DSCH DRX operation with second DRX cycle in CELL_FACH state
8.3.5.3	Cell Re-selection in CELL_FACH - Cell Reselection to GSM	R99	C_RF07	RA99	UEs supporting FDD Packet Switched Data and GPRS
8.3.5.4	Cell Reselection during an MBMS session, two frequencies present in neighbour list	Rel-6	C_RF29	RA6	UEs supporting FDD and MBMS
8.3.5.5.1	UTRAN to E-UTRA Cell Reselection - Reselection to E-UTRA FDD when HS-DSCH DRX is configured (E-UTRA has higher priority)	Rel-11	C_RF133	RA11	UEs supporting FDD and E-UTRAN FDD and HS-DSCH DRX operation in CELL_FACH state
8.3.5.5.2	UTRAN to E-UTRA Cell Reselection - Reselection to E-UTRA FDD when HS-DSCH DRX is configured (E-UTRA has lower priority)	Rel-11	C_RF133	RA11	UEs supporting FDD and E-UTRAN FDD and HS-DSCH DRX operation in CELL_FACH state
8.3.5.5.3	UTRAN to E-UTRA Cell Reselection - Reselection to E-UTRA FDD when HS-DSCH 2nd DRX is configured (E-UTRA has higher priority)	Rel-11	C_RF134	RA11	UEs supporting FDD and E-UTRAN FDD  and HS-DSCH DRX operation with second DRX cycle in CELL_FACH state
8.3.5.5.4	UTRAN to E-UTRA Cell Reselection - Reselection to E-UTRA TDD when HS-DSCH DRX is configured (E-UTRA has higher priority)	Rel-11	C_RF135	RA11	UEs supporting FDD and E-UTRAN TDD and HS-DSCH DRX operation in CELL_FACH state
8.3.5.5.5	UTRAN to E-UTRA Cell Reselection - Reselection to E-UTRA TDD when HS-DSCH DRX is configured (E-UTRA has lower priority)	Rel-11	C_RF135	RA11	UEs supporting FDD and E-UTRAN TDD and HS-DSCH DRX operation in CELL_FACH state
8.3.5.5.6	UTRAN to E-UTRA Cell Reselection - Reselection to E-UTRA TDD when HS-DSCH 2nd DRX is configured (E-UTRA has higher priority)	Rel-11	C_RF136	RA11	UEs supporting FDD and E-UTRAN TDD and HS-DSCH DRX operation with second DRX cycle in CELL_FACH state
8.3.6.1	Cell Re-selection in CELL_PCH - One frequency present in the neighbour list	R99	C_RF12	RA99	UEs supporting FDD Packet Switched Data
8.3.6.2	Cell Re-selection in CELL_PCH - Two frequencies present in the neighbour list	R99	C_RF12	RA99	UEs supporting FDD Packet Switched Data
8.3.6.3	Cell re-selection during an MBMS session, one UTRAN inter-frequency and 2 GSM cells present in the neighbour list	Rel-6	C_RF30	RA6	UEs supporting FDD and MBMS and GSM
8.3.7.1	Cell Re-selection in URA_PCH - One frequency present in the neighbour list	R99	C_RF12	RA99	UEs supporting FDD Packet Switched Data
8.3.7.2	Cell Re-selection in URA_PCH - Two frequencies present in the neighbour list	R99	C_RF12	RA99	UEs supporting FDD Packet Switched Data
8.3.8	Serving HS-DSCH cell change	Rel-6	C_RF02	RA6	UEs supporting FDD and HS-PDSCH
8.3.9	Enhanced Serving HS-DSCH cell change	Rel-8	C_RF68	RA8	UEs supporting FDD and HS-PDSCH and additionally supporting Target Cell Pre-Configuration
8.3.10.1	Intrafrequency System Information Acquisition for CSG cell	Rel-9	C_RF87	RA9	UEs supporting FDD, CSG and intra-frequency SI acquisition for HO.
8.3.10.2	Interfrequency System Information Acquisition for CSG cell	Rel-9	C_RF88	RA9	UEs supporting FDD, CSG and inter-frequency SI acquisition for HO.
8.4.1.1	RRC Connection Control / RRC Re-establishment delay - Test 1	R99	R	RA99	UEs supporting FDD
8.4.1.2	RRC Connection Control / RRC Re-establishment delay - Test 2	R99	R	RA99	UEs supporting FDD
8.4.2.1	Random Access - Correct behaviour when receiving an ACK	R99, Rel-4 and Rel-5 only	R	RF_RO_03	UEs supporting FDD
8.4.2.1A	Random Access - Correct behaviour when receiving an ACK - Release 6	Rel-6	R	RA6	UEs supporting FDD
8.4.2.2	Random Access - Correct behaviour when receiving an NACK	R99	R	RA99	UEs supporting FDD
8.4.2.3	Random Access - Correct behaviour at Time-out	R99	R	RA99	UEs supporting FDD
8.4.2.4	Random Access - Correct behaviour when reaching maximum transmit power	R99	R	RA99	UEs supporting FDD
8.4.3.1	Transport format combination selection in UE - Interactive or Background, PS, UL: 64 kbps	R99	C_RF13	RA99	UEs supporting FDD and downlink RMC 64 kbps and uplink RMC 64 kbps
8.4.3.1A	Transport format combination selection in UE-Interactive or Background, PS, UL: 64 kbps + Conversational / speech, CS, UL: 12.2kbps	Rel-10	C_RF13	RA10	UEs supporting FDD and downlink RMC 64 kbps and uplink RMC 64 kbps
8.4.4.1	E-TFC restriction in UE - 10ms TTI E-DCH E-TFC restriction	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
8.4.4.2	E-TFC restriction in UE - 2ms TTI E-DCH E-TFC restriction	Rel-6	C_RF28	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH with 2 ms TTI
8.5.1	Timing and Signalling Characteristics - UE Transmit Timing	R99	R	RA99	UEs supporting FDD
8.6.1.1	UE Measurements Procedures / FDD intra frequency measurements - Event triggered reporting in AWGN propagation conditions	R99 only	R	RF_RO_01	UEs supporting FDD
8.6.1.1A	UE Measurements Procedures / FDD intra frequency measurements - Event triggered reporting in AWGN propagation conditions	Rel-4	R	RA4	UEs supporting FDD
8.6.1.2	UE Measurements Procedures / FDD intra frequency measurements - Event triggered reporting of multiple neighbours in AWGN propagation condition	R99 only	R	RF_RO_01	UEs supporting FDD
8.6.1.2A	UE Measurements Procedures / FDD intra frequency measurements - Event triggered reporting of multiple neighbours in AWGN propagation condition	Rel-4	R	RA4	UEs supporting FDD
8.6.1.3	UE Measurements Procedures / FDD intra frequency measurements - Event triggered reporting of two detectable neighbours in AWGN propagation condition	R99 only	R	RF_RO_01	UEs supporting FDD
8.6.1.3A	UE Measurements Procedures / FDD intra frequency measurements - Event triggered reporting of two detectable neighbours in AWGN propagation condition	Rel-4	R	RA4	UEs supporting FDD
8.6.1.4	Void				
8.6.1.4A	UE Measurements Procedures / FDD intra frequency measurements - Correct reporting of neighbours in fading propagation condition	Rel-4	R	RA4	UEs supporting FDD
8.6.1.5	UE Measurements Procedures / FDD intra frequency measurements - Event triggered reporting of multiple neighbour cells in Case 1 fading condition	Rel-5	R	RA5	UEs supporting FDD
8.6.1.6	UE Measurements Procedures / FDD intra frequency measurements - Event triggered reporting of multiple neighbour cells in Case 3 fading condition	Rel-5	R	RA5	UEs supporting FDD
8.6.2.1	FDD inter frequency measurements - Correct reporting of neighbours in AWGN propagation condition (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	R	RF_RO_003	UEs supporting FDD
8.6.2.1A	FDD inter frequency measurements - Correct reporting of neighbours in AWGN propagation condition (Release 6 and later)	Rel-6	R	RA6	UEs supporting FDD
8.6.2.2	FDD inter frequency measurements - Correct reporting of neighbours in fading propagation condition (Release 5 only)	Rel-5 only	R	RF_RO_04	UEs supporting FDD
8.6.2.2A	FDD inter frequency measurements - Correct reporting of neighbours in fading propagation condition (Release 6 and later)	Rel-6	R	RA6	UEs supporting FDD
8.6.2.3	FDD inter frequency measurements - Correct reporting of neighbours in fading propagation condition using TGL1= 14	Rel-6	R	RA6	UEs supporting FDD
8.6.3.1	TDD measurements - Correct reporting of TDD neighbours in AWGN propagation condition	R99 and Rel-4 only	C_RF06	RF_RO_02	UEs supporting FDD and TDD
8.6.4.1	GSM measurements - Correct reporting of GSM neighbours in AWGN propagation condition	R99	C_RF05	RA99	UEs supporting FDD and GSM
8.6.5.1	Combined Interfrequency and GSM measurements - Correct reporting of neighbours in AWGN propagation condition	Rel-6	C_RF05	RA6	UEs supporting FDD and GSM
8.6.6.1	Correct reporting of E-UTRAN FDD neighbour in fading propagation condition in CELL_DCH	Rel-8	C_RF109	RA8	UE supporting FDD and E-UTRAN FDD and EUTRA Feature Group Indicator 2
8.6.6.2	Correct reporting of E-UTRAN TDD neighbour in fading propagation condition in CELL_DCH	Rel-8	C_RF110	RA8	UE supporting FDD and E-UTRAN TDD and EUTRA Feature Group Indicator 2
8.6.7.1	Correct reporting of E-UTRA FDD neighbours in fading propagation condition	Rel-8	C_RF109	RA8	UE supporting FDD and E-UTRAN FDD and EUTRA Feature Group Indicator 2
8.6.7.2	Correct reporting of E-UTRA TDD neighbours in Fading propagation condition	Rel-8	C_RF110	RA8	UE supporting FDD and E-UTRAN TDD and EUTRA Feature Group Indicator 2
8.7.1.1.1	Measurements Performance Requirements / CPICH RSCP / Intra frequency measurements accuracy - Absolute accuracy requirement	R99	R	RA99	UEs supporting FDD
8.7.1.1.2	Measurements Performance Requirements / CPICH RSCP / Intra frequency measurements accuracy - Relative accuracy requirement	R99	R	RA99	UEs supporting FDD
8.7.1.2.1	Inter frequency measurement accuracy - Relative accuracy requirement	R99	R	RA99	UEs supporting FDD
8.7.2.1.1	CPICH Ec/Io / Intra frequency measurements accuracy - Absolute accuracy requirement	R99	R	RA99	UEs supporting FDD
8.7.2.1.2	CPICH Ec/Io / Intra frequency measurements accuracy - Relative accuracy requirement	R99	R	RA99	UEs supporting FDD
8.7.2.2.1	Inter frequency measurement accuracy / Absolute accuracy requirement		Void	Void	
8.7.2.2.2	Inter frequency measurement accuracy / Relative accuracy requirement	R99	R	RA99	UEs supporting FDD
8.7.3.1	UTRA Carrier RSSI - Absolute measurement accuracy requirement	R99	R	RA99	UEs supporting FDD
8.7.3.2	UTRA Carrier RSSI - Relative measurement accuracy requirement	Rel-6	R	RA6	UEs supporting FDD
8.7.3A	GSM Carrier RSSI	R99	C_RF05	RA99	UE supporting FDD and GSM
8.7.3B	Transport channel BLER		Void		
8.7.3C	UE transmitted power (R99 and Rel-4 only)	R99 and Rel-4 only	R	RF_RO_02	UEs supporting FDD
8.7.3D	UE transmitted power (Rel-5 and later)	Rel-5	R	RA5	UEs supporting FDD
8.7.4.1	SFN-CFN observed time difference - Intra frequency measurement requirement	R99	R	RA99	UEs supporting FDD
8.7.4.2	SFN-CFN observed time difference - Inter frequency measurement requirement	R99	R	RA99	UEs supporting FDD
8.7.5.1	SFN-SFN observed time difference type 1	R99	R	RA99	UEs supporting FDD
8.7.5.2	SFN-SFN observed time difference type 2		Void	Void	
8.7.6.1	UE Rx-Tx time difference type 1 (Release 5 and earlier)	R99, Rel-4 and Rel-5 only	R	RF_RO_03	UEs supporting FDD
8.7.6.1A	UE Rx-Tx time difference type 1 (Release 6 and later)	Rel-6	R	RA6	UEs supporting FDD
8.7.6.2	UE Rx-Tx time difference type 2		Void	Void	
8.7.7	Observed time difference to GSM cell	R99 and Rel-4 only	Void	Void	
8.7.8.1	P-CCPCH RSCP Absolute measurement accuracy	R99 and Rel-4 only	C_RF06	RF_RO_02	UEs supporting FDD and TDD
8.7.9	UE Transmission Power Headroom	Rel-6	C_RF23	RA6	UEs supporting FDD and HS-PDSCH and E-DPDCH
8.7.10	E-UTRAN FDD RSRP absolute accuracy (CELL_DCH)	Rel-9	C_RF73	RA9	UE supporting FDD and E-UTRAN FDD
8.7.11	E-UTRAN TDD RSRP absolute accuracy (CELL_DCH)	Rel-9	C_RF74	RA9	UE supporting FDD and E-UTRAN TDD
8.7.12	E-UTRAN FDD RSRQ absolute accuracy (CELL_DCH)	Rel-9	C_RF73	RA9	UE supporting FDD and E-UTRAN FDD
8.7.13	E-UTRAN TDD RSRQ absolute accuracy (CELL_DCH)	Rel-9	C_RF74	RA9	UE supporting FDD and E-UTRAN TDD
9.2.1A	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 1/2/3	Rel-5	C_RF14	RA5	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 1-6
9.2.1B	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - QPSK, Fixed Reference Channel (FRC) H-Set 4/5	Rel-5	C_RF15	RA5	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 11-12
9.2.1C	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6/3	Rel-6	C_RF16	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, but not supporting the optional enhanced performance requirements types 1, 2, 3 or 3i.
9.2.1D	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 1 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 1/2/3	Rel-6	C_RF17	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 1-6 and Enhanced performance requirements type 1.
9.2.1E	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 1 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6/3	Rel-6	C_RF18	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10 and Enhanced performance requirements type 1.
9.2.1F	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6/3	Rel-6	C_RF112	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10 and Enhanced performance requirements type 2 or Enhanced performance requirements type 3 or Enhanced performance requirements type 3i (Note 4)
		Rel-7	C_RF41	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 13-14.(Note 4)
9.2.1FA	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6A/3A	Rel-8	C_RF62	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24 but not supporting dual band operation
9.2.1FB	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6A/3A for DB-DC-HSDPA	Rel-9	C_RF92	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24 and dual band operation
