Clause	TC Title	Release	Applicability		Additional Information			
			C216T		pc_eTDD			
7.1.6.5	eDRX operation / Long cycle configured / Parameters configured by RRC	Rel-13	C260	UEs supporting E-UTRA and Extended Long DRX	pc_eFDD			
					pc_eTDD			
7.1.7.1.1	DL-SCH transport block size selection / DCI format 1 / RA type 0	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.7.1.2	DL-SCH transport block size selection / DCI format 1 / RA type 1	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.7.1.3	DL-SCH transport block size selection / DCI format 1A / RA type 2 / Localised VRB	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.7.1.4	DL-SCH transport block size selection / DCI format 1A / RA type 2 / Distributed VRB	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.7.1.5	DL-SCH transport block size selection / DCI format 2A / RA type 0 / Two transport blocks enabled / Transport block to codeword swap flag value set to "0"	Rel-8	C56	UEs supporting E-UTRA and (UE Category 2 to UE Category 5)	pc_eFDD			
					pc_eTDD			
7.1.7.1.6	DL-SCH transport block size selection / DCI format 2A / RA type 1 / Two transport blocks enabled / Transport block to codeword swap flag value set to "1"	Rel-8	C56	UEs supporting E-UTRA and (UE Category 2 to UE Category 5)	pc_eFDD			
					pc_eTDD			
7.1.7.1.6a	DL-SCH transport block size selection / DCI format 2A / RA type 0 and RA type 1 / Two transport blocks enabled / 3 and 4 Layer Spatial Multiplexing	Rel-10	C296	UEs supporting E-UTRA and ((UE Category 5 to UE Category 7) or (UE Category 9 to UE Category 12) or UE Category 15 or UE Category 16 or UE Category 18 or UE Category 19) and 4-layer spatial multiplexing.	pc_eFDD			
					pc_eTDD			
7.1.7.1.7	DL-SCH transport block size selection / DCI format 1 / RA type 0 / 256QAM	Rel-12	C248	UEs supporting E-UTRA and ((UE Category 11 to UE Category 12) or (UE DL Category 11 to UE DL Category 16)) and downlink 256QAM	pc_eFDD			
					pc_eTDD			
7.1.7.1.8	DL-SCH transport block size selection / DCI format 1 / RA type 1 / 256QAM	Rel-12	C248	UEs supporting E-UTRA and ((UE Category 11 to UE Category 12) or (UE DL Category 11 to UE DL Category 16)) and downlink 256QAM	pc_eFDD			
					pc_eTDD			
7.1.7.1.9	DL-SCH transport block size selection / DCI format 1A / RA type 2 / Localised VRB / 256QAM	Rel-12	C248	UEs supporting E-UTRA and ((UE Category 11 to UE Category 12) or (UE DL Category 11 to UE DL Category 16)) and downlink 256QAM	pc_eFDD			
					pc_eTDD			
7.1.7.1.10	DL-SCH transport block size selection / DCI format 1A / RA type 2 / Distributed VRB / 256QAM	Rel-12	C248	UEs supporting E-UTRA and ((UE Category 11 to UE Category 12) or (UE DL Category 11 to UE DL Category 16)) and downlink 256QAM	pc_eFDD			
					pc_eTDD			
7.1.7.1.11	DL-SCH transport block size selection / DCI format 2A / RA type 0 / Two transport blocks enabled / Transport block to codeword swap flag value set to "0" / 256QAM	Rel-12	C248	UEs supporting E-UTRA and ((UE Category 11 to UE Category 12) or (UE DL Category 11 to UE DL Category 16)) and downlink 256QAM	pc_eFDD			
					pc_eTDD			
7.1.7.1.12	DL-SCH Transport Block Size selection / DCI format 2A / RA type 1 / Two transport blocks enabled / Transport block to codeword swap flag value set to "1" / 256QAM	Rel-12	C248	UEs supporting E-UTRA and ((UE Category 11 to UE Category 12) or (UE DL Category 11 to UE DL Category 16)) and downlink 256QAM	pc_eFDD			
					pc_eTDD			
7.1.7.1.12a	DL-SCH transport block size selection / DCI format 2A / RA type 0 and RA type 1 / Two transport blocks enabled / 3 and 4 Layer Spatial Multiplexing / 256QAM	Rel-12	C297	UEs supporting E-UTRA and ((UE Category 11 to UE Category 13) or UE Category 15 or  UE Category 16 or UE Category 18 or Category 19) and 4-layer spatial multiplexing.	pc_eFDD			
					pc_eTDD			
7.1.7.1.13	DL-SCH transport block size selection / DCI format 6-1A / RA type 2 / Localised VRB	Rel-13	C254a	UEs supporting E-UTRA and CE mode A	pc_eFDD			
					pc_eTDD			
7.1.7.1.14	DL-SCH transport block size selection / DCI format 6-1B 	Rel-13	C255	UEs supporting E-UTRA and CE mode B	pc_eFDD			
					pc_eTDD			
7.1.7.2.1	UL-SCH transport block size selection / DCI format 0	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.7.2.2	UL-SCH transport block size selection / DCI format 6-0A	Rel-13	C254a	UEs supporting E-UTRA and CE mode A	pc_eFDD			
					pc_eTDD			
7.1.7.2.3	UL-SCH transport block size selection / DCI format 6-0B/ Uplink resource allocation type 2	Rel-13	C255	UEs supporting E-UTRA and CE mode B	pc_eFDD			
					pc_eTDD			
7.1.8.1	Periodic RI reporting using PUCCH / UE only supports 1 layer for spatial multiplexing in DL / Transmission mode 3/4	Rel-8	C103	UEs supporting E-UTRA and (UE Category 0 or UE Category 1) and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.9.1.1	CA / Activation/Deactivation of SCells / Activation/Deactivation MAC control element reception / sCellDeactivationTimer / Intra-band Contiguous CA	Rel-10	C132	UEs supporting E-UTRA and Intra-band Contiguous Carrier Aggregation	pc_eFDD			
					pc_eTDD			
7.1.9.1.2	CA / Activation/Deactivation of SCells / Activation/Deactivation MAC control element reception / sCellDeactivationTimer / Inter-band CA	Rel-10	C151	UEs supporting E-UTRA and Inter-band Carrier Aggregation	pc_eFDD			
					pc_eTDD			
7.1.9.1.3	CA / Activation/Deactivation of SCells / Activation/Deactivation MAC control element reception / sCellDeactivationTimer / Intra-band non-Contiguous CA	Rel-11	C132a	UEs supporting E-UTRA and Downlink Intra-band non-Contiguous CA Carrier Aggregation	pc_eFDD			
					pc_eTDD			
7.1.10.1	Sending SR on PUCCH with DMRS generated by using virtual cell identity / nPUCCH-Identity	Rel-11	C208	UEs supporting E-UTRA and UL CoMP and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.10.2	Transmitting data on PUSCH with DMRS generated by using virtual cell identity / nPUSCH-Identity	Rel-11	C208	UEs supporting E-UTRA and UL CoMP and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.11.1	LAA transmits common control information in PDCCH scrambled with CC-RNTI	Rel-13	C280	UEs supporting E-UTRA and downlink LAA	pc_eFDD			
					pc_eTDD			
7.1.12.1	DataInactivityTimer expiry	Rel-14	C295	UEs supporting E-UTRA and data inactivity monitoring	pc_eFDD			
					pc_eTDD			
7.2.2.1	UM RLC / Segmentation and reassembly / 5-bit SN / Framing Info Field	Rel-8	C15F	UEs supporting E-UTRA and Feature Group Indicator 3 and Feature Group Indicator 7	pc_eFDD			
			C15T		pc_eTDD			
7.2.2.2	UM RLC / Segmentation and reassembly / 10-bit SN / Framing Info Field	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.2.2.3	UM RLC / Reassembly / 5-bit SN / LI value > PDU size	Rel-8	C15F	UEs supporting E-UTRA and Feature Group Indicator 3 and Feature Group Indicator 7	pc_eFDD			
			C15T		pc_eTDD			
7.2.2.4	UM RLC / Reassembly / 10-bit SN / LI value > PDU size	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.2.2.5.1	UM RLC / 5-bit SN / Correct use of sequence numbering 	Rel-8	C15F	UEs supporting E-UTRA and Feature Group Indicator 3 and Feature Group Indicator 7	pc_eFDD			
			C15T		pc_eTDD			
7.2.2.5.2	UM RLC / 10-bit SN / Correct use of sequence numbering	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.2.2.6	UM RLC / Concatenation, segmentation and reassembly	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.2.2.7	UM RLC / In sequence delivery of upper layer PDUs without residual loss of RLC PDUs / Maximum re-ordering delay below t-Reordering	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.2.2.8	UM RLC / In sequence delivery of upper layer PDUs without residual loss of RLC PDUs / Maximum re-ordering delay exceeds t-Reordering	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.2.2.9	UM RLC / In sequence delivery of upper layer PDUs with residual loss of RLC PDUs / Maximum re-ordering delay exceeds t-Reordering	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.2.2.10	UM RLC / Duplicate detection of RLC PDUs	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.2.2.11	UM RLC / RLC re-establishment procedure	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.2.3.1	AM RLC / Concatenation and reassembly	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.2	AM RLC / Segmentation and reassembly / No PDU segmentation	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.3	AM RLC / Segmentation and reassembly / Framing Info Field	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.4	AM RLC / Segmentation and reassembly / Different numbers of length indicators	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.5	AM RLC / Reassembly / LI value > PDU size	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.6	AM RLC / Correct use of sequence numbering	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.7	AM RLC / Control of transmit window	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.8	AM RLC / Control of receive window	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.9	AM RLC / Polling for status 	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.10	AM RLC / Receiver status triggers	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.12	Void							
7.2.3.13	AM RLC / Reconfiguration of RLC parameters by upper layers	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.14	AM RLC / In sequence delivery of upper layers PDUs	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.15	AM RLC / Re-ordering of RLC PDU segments	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.16	AM RLC / Re-transmission of RLC PDU without re-segmentation	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.17	AM RLC / Re-segmentation RLC PDU / SO, FI, LSF	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.18	AM RLC / Reassembly / AMD PDU reassembly from AMD PDU segments, Segment Offset and Last Segment Flag fields	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.19	Void							
7.2.3.20	AM RLC / Duplicate detection of RLC PDUs	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.2.3.21	AM RLC / RLC re-establishment at RRC connection reconfiguration including mobilityControlInfo IE	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.1.1	Maintenance of PDCP sequence numbers / User plane / RLC AM	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.1.2	Maintenance of PDCP sequence numbers / User plane / RLC UM / Short PDCP SN (7 bits)	Rel-8	C15F	UEs supporting E-UTRA and Feature Group Indicator 3 and Feature Group Indicator 7	pc_eFDD			
			C15T		pc_eTDD			
7.3.1.3	Maintenance of PDCP sequence numbers / User plane / RLC UM / Long PDCP SN (12 bits)	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.3.3.1	Ciphering and deciphering / Correct functionality of EPS AS encryption algorithms / SNOW 3G	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.3.2	Ciphering and deciphering / Correct functionality of EPS UP encryption algorithms / SNOW 3G	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.3.3	Ciphering and deciphering / Correct functionality of EPS AS encryption algorithms / AES	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.3.4	Ciphering and deciphering / Correct functionality of EPS UP encryption algorithms / AES	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.3.5	Ciphering and deciphering / Correct functionality of EPS AS encryption algorithms / ZUC	Rel-11	C215	UEs supporting E-UTRA and ZUC algorithm	pc_eFDD		Note 3	
					pc_eTDD			
7.3.3.6	Ciphering and deciphering / Correct functionality of EPS UP encryption algorithms / ZUC	Rel-11	C215	UEs supporting E-UTRA and ZUC algorithm	pc_eFDD		Note 3	
					pc_eTDD			
7.3.4.1	Integrity protection / Correct functionality of EPS AS integrity algorithms / SNOW3G	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.4.2	Integrity protection / Correct functionality of EPS AS integrity algorithms / AES	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.4.3	Integrity protection / Correct functionality of EPS AS integrity algorithms / ZUC	Rel-11	C215	UEs supporting E-UTRA and ZUC algorithm	pc_eFDD		Note 3	
					pc_eTDD			
7.3.5.1	Void							
7.3.5.2	PDCP handover / Lossless handover / PDCP sequence number maintenance	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.5.3	PDCP handover / Non-lossless handover PDCP sequence number maintenance	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.3.5.4	PDCP handover / Lossless handover / PDCP status report to convey the information on missing or acknowledged PDCP SDUs at handover	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.5.5	PDCP handover / In-order delivery and duplicate elimination in the downlink	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.3.6.1	PDCP discard	Rel-8	C16F	UEs supporting E-UTRA and Feature Group Indicator 7	pc_eFDD			
			C16T		pc_eTDD			
7.3.7.1	PDCP Uplink Routing / Split DRB	Rel-12	C244	UEs supporting E-UTRA and DC Split DRB	pc_eFDD			
					pc_eTDD			
7.3.7.2	PDCP Data Recovery / Reconfiguration of Split DRB	Rel-12	C244	UEs supporting E-UTRA and DC Split DRB	pc_eFDD			
					pc_eTDD			
7.3.7.3	PDCP Data Recovery / Reconfiguration of Split DRB to MCG/SCG DRBs	Rel-12	C246	UEs supporting E-UTRA and DC Split DRB and DC SCG DRB	pc_eFDD			
					pc_eTDD			
7.3.7.4	PDCP re-establishment at handover / Split DRB	Rel-12	C244	UEs supporting E-UTRA and DC Split DRB	pc_eFDD			
					pc_eTDD			
7.3.7.5	PDCP re-establishment at handover of MCG/SCG DRBs and at SCG change without handover with SCG DRB change	Rel-12	C246	UEs supporting E-UTRA and DC Split DRB and DC SCG DRB	pc_eFDD			
					pc_eTDD			
7.3.7.6	PDCP reordering of Split DRB / Maximum re-ordering delay below t-Reordering	Rel-12	C244	UEs supporting E-UTRA and DC Split DRB	pc_eFDD			
					pc_eTDD			
7.3.7.7	PDCP reordering of Split DRB / t-Reordering timer operations	Rel-12	C244	UEs supporting E-UTRA and DC Split DRB	pc_eFDD			
					pc_eTDD			
7.3.8.1	Security Aspects / ProSe Direct Communication / Security Information for Confidentiality Protection - Correct Counting and Wrapping	Rel-12	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
7.3.8.2	Security Aspects / ProSe Direct Communication / Security Information for no Confidentiality Protection	Rel-12	C238	UEs supporting E-UTRA FDD and supporting ProSe direct communication	pc_eFDD			
7.3.8.3	Void							
								
7.3.9.1	PDCP SDU transmission/ V2X Sidelink Communication/ No Header Compression for Non-IP type / No Confidentiality Protection for both Non-IP type and IP type	Rel-14	C307	UEs supporting E-UTRA and V2X sidelink communication 	pc_eFDD			
					pc_eTDD			
8	RADIO RESOURCE CONTROL							
8.1.1.1	Void							
8.1.1.1a	RRC / Direct Indication Information / Notification of BCCH modification in idle mode	Rel-13	C254	UEs supporting E-UTRA and (CE Mode A or CE Mode B)	pc_eFDD			
					pc_eTDD			
8.1.1.2	RRC / Paging for notification of BCCH modification in idle mode	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.1.2a	RRC / Paging for notification of BCCH modification in idle mode / DRX cycle longer than the modification period	Rel-13	C262	UEs supporting E-UTRA and Extended DRX	pc_eFDD			
					pc_eTDD			
8.1.1.3	RRC / Paging for connection in idle mode / Multiple paging records	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.1.4	RRC / Paging for connection in idle mode / Shared network environment	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.1.6	RRC / BCCH modification in connected mode	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.1.1.7	RRC / Paging / EAB active	Rel-11	C194	UEs supporting E-UTRA and EAB and LAP	pc_eFDD			
					pc_eTDD			
8.1.2.1	Void							
8.1.2.2	RRC connection establishment / Reject with wait time	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.2.3	RRC connection establishment / Return to idle state after T300 timeout	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.2.5	RRC connection establishment / 0% access probability for MO calls, no restriction for MO signalling	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.2.6	RRC connection establishment / Non-zero percent access probability for MO calls, no restriction for MO signalling	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.2.7	RRC connection establishment / 0% access probability for AC 0 to 9, AC 10 is barred, AC 11 to 15 are not barred, access for UE with access class in the range 11 to 15 is allowed	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.2.8	RRC connection establishment / Range of access baring time	Rel-8	C97	UEs supporting E-UTRA and Multiple PDN	pc_eFDD			
					pc_eTDD			
8.1.2.9	RRC Connection Establishment / 0% access probability for MO calls, non-zero percent access probability for MO signalling	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.2.10	Void							
8.1.2.11	Void							
8.1.2.12	Void							
8.1.2.13	RRC connection establishment / 0% access probability for MO calls, 0% access probability for MO signalling	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.1.2.14	RRC connection establishment / High speed flag	Rel-9	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD		Note 3	
					pc_eTDD			
8.1.3.1	Void							
8.1.3.3	Void							
8.1.3.4	RRC connection release / Redirection to another E-UTRAN frequency	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.1.3.5	RRC connection release / Success / With priority information	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.1.3.5a	RRC connection release / Success / With extended priority information	Rel-12	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.1.3.6	RRC connection release / Redirection from E-UTRAN to UTRAN	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
8.1.3.6a	RRC connection release / Redirection from E-UTRAN to UTRAN / Pre-redirection info	Rel-9	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
8.1.3.7	RRC connection release / Redirection from UTRAN to E-UTRAN	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
8.1.3.8	RRC connection release / Redirection from E-UTRAN to GERAN	Rel-8	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.1.3.9	RRC connection release / Redirection from E-UTRAN to CDMA2000-HRPD	Rel-8	C06	UEs supporting E-UTRA and HRPD and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.1.3.10	RRC connection release / Redirection from E-UTRAN to CDMA2000-1xRTT	Rel-8	C07	UEs supporting E-UTRA and 1xRTT and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.1.3.11	RRC connection release / Redirection to another E-UTRAN band	Rel-9	C184	UEs supporting E-UTRA and more than 1 FDD or TDD E-UTRA band and NOT Category M1	pc_eFDD		Note 3	
					pc_eTDD			
8.1.3.11a	RRC connection release / Redirection to another E-UTRAN band / Between FDD and TDD	Rel-9	C142a	UEs supporting E-UTRA FDD and E-UTRA TDD and NOT Category M1			Note 3	
8.1.3.12	RRC connection release / Success / With priority information / Inter-band	Rel-9	C184	UEs supporting E-UTRA and more than 1 FDD or TDD E-UTRA band and NOT Category M1	pc_eFDD		Note 3 Either TC 8.1.3.12 or TC 8.1.3.12b shall be executed. (Note 4)	
					pc_eTDD			
8.1.3.12a	RRC connection release / Success / With priority information / Inter-band / Between FDD and TDD	Rel-9	C142a	UEs supporting E-UTRA FDD and E-UTRA TDD and NOT Category M1			Note 3	
8.1.3.12b	RRC connection release / Success / With priority information / Inter-band (Single frequency operation in source band)	Rel-9	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD		Note 3Either TC 8.1.3.12 or TC 8.1.3.12b shall be executed. (Note 4)	
					pc_eTDD			
8.2.1.1	RRC connection reconfiguration / Radio bearer establishment for transition from RRC_IDLE to RRC_CONNECTED / Success / Default bearer / Early bearer establishment	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.2.1.3	RRC connection reconfiguration / Radio bearer establishment / Success / Dedicated bearer	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.2.1.5	RRC connection reconfiguration / Radio bearer establishment for transition from RRC_IDLE to RRC CONNECTED / Success / Latency check	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.2.1.6	RRC connection reconfiguration / Radio bearer establishment for transition from RRC_IDLE to RRC CONNECTED / Success / Latency check / SecurityModeCommand and RRCConnectionReconfiguration transmitted in the same TTI	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.2.1.7	RRC connection reconfiguration / Radio bearer establishment / Success / SRB2	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.2.1.8	RRC connection reconfiguration / Radio bearer establishment / Success / Dedicated bearer / ROHC configured	Rel-9	C120F	UEs supporting E-UTRA and Feature Group Indicator 7 and ROHC profile0x0001 and ROHC profile0x0002	pc_eFDD		Note 3	
			C120T		pc_eTDD			
8.2.2.1	RRC connection reconfiguration / Radio resource reconfiguration / Success	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.2.2.2	RRC connection reconfiguration / SRB/DRB reconfiguration / Success	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
8.2.2.3.1	CA / RRC connection reconfiguration / SCell addition/modification/release / Success / Intra-band Contiguous CA	Rel-10	C132	UEs supporting E-UTRA and Intra-band contiguous Carrier Aggregation	pc_eFDD			
					pc_eTDD			
8.2.2.3.2	CA / RRC connection reconfiguration / SCell addition/modification/release / Success / Inter-band CA	Rel-10	C151	UEs supporting E-UTRA and Inter-band Carrier Aggregation	pc_eFDD			
					pc_eTDD			
8.2.2.3.3	CA / RRC connection reconfiguration / SCell addition/ modification/release / Success / Intra-band non-contiguous CA	Rel-11	C132a	UEs supporting E-UTRA and Downlink Intra-band non-contiguous Carrier Aggregation	pc_eFDD			
					pc_eTDD			
8.2.2.4.1	CA / RRC connection reconfiguration / SCell SI change / Success / Intra-band Contiguous CA	Rel-10	C132	UEs supporting E-UTRA and Intra-band contiguous Carrier Aggregation	pc_eFDD			
					pc_eTDD			
8.2.2.4.2	CA / RRC connection reconfiguration / SCell SI change / Success / Inter-band CA	Rel-10	C151	UEs supporting E-UTRA and Inter-band Carrier Aggregation	pc_eFDD			
					pc_eTDD			
8.2.2.4.3	CA / RRC connection reconfiguration / SCell SI change / Success / Intra-band non-contiguous CA	Rel-11	C132a	UEs supporting E-UTRA and Downlink Intra-band non-contiguous Carrier Aggregation	pc_eFDD			
					pc_eTDD			
8.2.2.5.1	CA / RRC connection reconfiguration / SCell Addition without UL / Success / Intra-band Contiguous CA	Rel-10	C132	UEs supporting E-UTRA and Intra-band contiguous Carrier Aggregation	pc_eFDD			
					pc_eTDD			
8.2.2.5.2	CA / RRC connection reconfiguration / SCell Addition without UL / Success / Inter-band CA	Rel-10	C151	UEs supporting E-UTRA and Inter-band Carrier Aggregation	pc_eFDD			
					pc_eTDD			
8.2.2.5.3	CA / RRC connection reconfiguration / SCell Addition without UL / Success / Intra-band non-Contiguous CA	Rel-11	C132a	UEs supporting E-UTRA and Downlink Intra-band non-contiguous Carrier Aggregation	pc_eFDD			
					pc_eTDD			
8.2.2.5.4	CA / RRC connection reconfiguration / SCell addition without UL / SRS configuration / Periodic / multi-SRS switching	Rel-14	C320	UEs supporting E-UTRA FDD-TDD DL CA and SRS switching between a band pair.	pc_eFDD			
			C321	UEs supporting E-UTRA TDD-TDD DL CA and SRS switching between a band pair.	pc_eTDD			
8.2.2.6.1	RRC connection reconfiguration/ UE Assistance Information/power preference indication setup and release	Rel-11	C187	UEs supporting E-UTRA and Power Preference Indication	pc_eFDD			
					pc_eTDD			
8.2.2.6.2	RRC connection reconfiguration/ UE Assistance Information/power preference indication release on connection re-establishment	Rel-11	C187	UEs supporting E-UTRA and Power Preference Indication	pc_eFDD			
					pc_eTDD			
8.2.2.6.3	RRC connection reconfiguration/ UE Assistance Information/T340 running	Rel-11	C187	UEs supporting E-UTRA and Power Preference Indication	pc_eFDD			
					pc_eTDD			
8.2.2.6.4	RRC connection reconfiguration/ UE Assistance Information / Delay Budget Report setup and release	Rel-14	C298	UE supporting delay budget reporting for MMTEL voice and video enhancements	pc_eFDD			
					pc_eTDD			
8.2.2.6.5	RRC connection reconfiguration/ UE Assistance Information/ Delay Budget Report T342 running	Rel-14	C298	UE supporting delay budget reporting for MMTEL voice and video enhancements	pc_eFDD			
					pc_eTDD			
8.2.2.7.1	CA / RRC connection reconfiguration / sTAG addition/modification/release / Success / Intra-band Contiguous CA	Rel-11	C190	UEs supporting E-UTRA and Intra-band contiguous Uplink Carrier Aggregation and multiple timing advances	pc_eFDD			
					pc_eTDD			
8.2.2.7.2	CA / RRC connection reconfiguration / sTAG addition/modification/release / Success / Inter-band CA	Rel-11	C191	UEs supporting E-UTRA and Inter-band Uplink Carrier Aggregation and multiple timing advances	pc_eFDD			
					pc_eTDD			
8.2.2.7.3	CA / RRC connection reconfiguration / sTAG addition/modification/release / Success / Intra-band non-Contiguous CA	Rel-11	C192	UEs supporting E-UTRA and Intra-band non-contiguous Uplink Carrier Aggregation and multiple timing advances	pc_eFDD			
					pc_eTDD			
