Item	Description	Re-lease	Test sequence (s)	Rel 99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14 ME	Terminal Profile	Network Dependency	Sup-port	Additional test case execution parameter
	Text attribute – center alignment	Rel-5	8.2			C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/218 AND E.1/110 AND E.1/111	No		
	Text attribute – right alignment	Rel-5	8.3			C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/219 AND E.1/110 AND E.1/111	No		
	Text attribute – large font size	Rel-5	8.4			C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110 AND E.1/111	No		
	Text attribute – small font size	Rel-5	8.5			C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110 AND E.1/111	No		
	Text attribute – bold on	Rel-5	8.6			C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110 AND E.1/111	No		
	Text attribute – italic on	Rel-5	8.7			C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110 AND E.1/111	No		
	Text attribute – underlined on	Rel-5	8.8			C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110 AND E.1/111	No		
	Text attribute – strikethrough on	Rel-5	8.9			C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110 AND E.1/111	No		
	Text attribute – foreground and background colours	Rel-5	8.10			C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	E.1/19 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110 AND E.1/111	N o		
	UCS2 display in Chinese	R99	9.1, 9.2			C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	E.1/19 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 entry in Chinese	R99	10.1, 10.2			C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	C142 AND C177 AND C178	E.1/19 AND E.1/14 AND E.1/110 AND E.1/111	No		
	UCS2 display in Katakana	R99	11.1, 11.2			C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	E.1/19 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 entry in Katakana	R99	12.1, 12.2			C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	C144 AND C177 AND C178	E.1/19 AND E.1/14 AND E.1/110 AND E.1/111	No		
	Frames	Rel-6	TBD													E.1/19 AND E.1/177 AND E.1/178 AND E.1/110 AND E.1/111	TBD		
7	MORE TIME 27.22.4.4	R99	1.1	M	M	M	M	M	M	M	M	M	M	M	M	E.1/20	No		
8	PLAY TONE 27.22.4.5																		
	play all tones, display alpha, user termination, superimpose	R99	1.1	C178 AND C179 AND C180	C178 AND C179 AND C180	C178 AND C179 AND C180	C178 AND C179 AND C180	C178 AND C179 AND C180	C178 AND C179 AND C180 AND C183	C178 AND C179 AND C180 AND C183	C178 AND C179 AND C180 AND C183	C178 AND C179 AND C180 AND C183	C178 AND C179 AND C180 AND C183	C178 AND C179 AND C180 AND C183	C178 AND C179 AND C180 AND C183	E.1/21 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 display in Cyrillic	R99	2.1	C118 AND C179	C118 AND C179	C118 AND C179	C118 AND C179	C118 AND C179	C118 AND C179	C118 AND C179	C118 AND C179	C118 AND C179	C118 AND C179	C118 AND C179	C118 AND C179	E.1/21 AND E.1/15 AND E.1/110	No		TCEP001
	Icons – basic icon	R99	3.1, 3.2	C108 AND C179	C108 AND C179	C108 AND C179	C108 AND C179	C108 AND C179	C108 AND C179	C108 AND C179	C108 AND C179	C108 AND C179	C108 AND C179	C108 AND C179	C108 AND C179	E.1/21 AND E.1/110	No		TCEP001
	Icons – colour icon	R99	3.3, 3.4	C171 AND C179	C171 AND C179	C171 AND C179	C171 AND C179	C171 AND C179	C171 AND C179	C171 AND C179	C171 AND C179	C171 AND C179	C171 AND C179	C171 AND C179	C171 AND C179	E.1/21 AND E.1/110	No		TCEP001
	Text attribute – left alignment	Rel-5	4.1			C153 AND C179	C153 AND C179	C153 AND C179	C153 AND C179	C153 AND C179	C153 AND C179	C153 AND C179	C153 AND C179	C153 AND C179	C153 AND C179	E.1/21 AND E.1/124 AND E.1/217 AND E.1/110	No		TCEP001
	Text attribute – center alignment	Rel-5	4.2			C154 AND C179	C154 AND C179	C154 AND C179	C154 AND C179	C154 AND C179	C154 AND C179	C154 AND C179	C154 AND C179	C154 AND C179	C154 AND C179	E.1/21 AND E.1/124 AND E.1/218 AND E.1/110	No		TCEP001
	Text attribute – right alignment	Rel-5	4.3			C155 AND C179	C155 AND C179	C155 AND C179	C155 AND C179	C155 AND C179	C155 AND C179	C155 AND C179	C155 AND C179	C155 AND C179	C155 AND C179	E.1/21 AND E.1/124 AND E.1/219 AND E.1/110	No		TCEP001
	Text attribute – large font size	Rel-5	4.4			C157 AND C156 AND C179	C157 AND C156 AND C179	C157 AND C156 AND C179	C157 AND C156 AND C179	C157 AND C156 AND C179	C157 AND C156 AND C179	C157 AND C156 AND C179	C157 AND C156 AND C179	C157 AND C156 AND C179	C157 AND C156 AND C179	E.1/21 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	No		TCEP001
	Text attribute – small font size	Rel-5	4.5			C158 AND C156 AND C179	C158 AND C156 AND C179	C158 AND C156 AND C179	C158 AND C156 AND C179	C158 AND C156 AND C179	C158 AND C156 AND C179	C158 AND C156 AND C179	C158 AND C156 AND C179	C158 AND C156 AND C179	C158 AND C156 AND C179	E.1/21 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	No		TCEP001
	Text attribute – bold on	Rel-5	4.6			C160 AND C159 AND C179	C160 AND C159 AND C179	C160 AND C159 AND C179	C160 AND C159 AND C179	C160 AND C159 AND C179	C160 AND C159 AND C179	C160 AND C159 AND C179	C160 AND C159 AND C179	C160 AND C159 AND C179	C160 AND C159 AND C179	E.1/21 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	No		TCEP001
	Text attribute – italic on	Rel-5	4.7			C161 AND C159 AND C179	C161 AND C159 AND C179	C161 AND C159 AND C179	C161 AND C159 AND C179	C161 AND C159 AND C179	C161 AND C159 AND C179	C161 AND C159 AND C179	C161 AND C159 AND C179	C161 AND C159 AND C179	C161 AND C159 AND C179	E.1/21 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	No		TCEP001
	Text attribute – underlined on	Rel-5	4.8			C162 AND C159 AND C179	C162 AND C159 AND C179	C162 AND C159 AND C179	C162 AND C159 AND C179	C162 AND C159 AND C179	C162 AND C159 AND C179	C162 AND C159 AND C179	C162 AND C159 AND C179	C162 AND C159 AND C179	C162 AND C159 AND C179	E.1/21 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	No		TCEP001
	Text attribute – strikethrough on	Rel-5	4.9			C163 AND C159 AND C179	C163 AND C159 AND C179	C163 AND C159 AND C179	C163 AND C159 AND C179	C163 AND C159 AND C179	C163 AND C159 AND C179	C163 AND C159 AND C179	C163 AND C159 AND C179	C163 AND C159 AND C179	C163 AND C159 AND C179	E.1/21 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	No		TCEP001
	Text attribute– foreground and background colours	Rel-5	4.10			C164 AND C165 AND C179	C164 AND C165 AND C179	C164 AND C165 AND C179	C164 AND C165 AND C179	C164 AND C165 AND C179	C164 AND C165 AND C179	C164 AND C165 AND C179	C164 AND C165 AND C179	C164 AND C165 AND C179	C164 AND C165 AND C179	E.1/21 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	No		TCEP001
	UCS2 display in Chinese	R99	5.1			C143 AND C179	C143 AND C179	C143 AND C179	C143 AND C179	C143 AND C179	C143 AND C179	C143 AND C179	C143 AND C179	C143 AND C179	C143 AND C179	E.1/21 AND E.1/15 AND E.1/110	No		TCEP001
	UCS2 display in Katakana	R99	6.1			C145 AND C179	C145 AND C179	C145 AND C179	C145 AND C179	C145 AND C179	C145 AND C179	C145 AND C179	C145 AND C179	C145 AND C179	C145 AND C179	E.1/21 AND E.1/15 AND E.1/110	No		TCEP001
	Frames	Rel-6	TBD													E.1/21 AND E.1/177 AND E.1/178 AND E.1/110	TBD		
	Themed and Melody tones	Rel-6	TBD													E.1/21 AND E.1/171 AND E.1/110	TBD		
9	POLL INTERVAL 27.22.4.6																		
	duration	R99	1.1	M	M	M	M	M	M	M	M	M	M	M	M	E.1/22	No		
10	REFRESH 27.22.4.7																		
	USIM initialization, enabling FDN mode	R99	1.1	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	E.1/24 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	file change notification of FDN file	R99	1.2	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	E.1/24 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	USIM initialization and file change notification of ADN	R99	1.3	C168 AND C177 AND C178	C168 AND C177 AND C178	C168 AND C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/24 AND E.1/110 AND E.1/111	No		
	USIM initialization and full file change notification, enabling FDN mode	R99	1.4	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	E.1/24 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	UICC reset	R99	1.5				M	M	M	M	M	M	M	M	M	E.1/24	No		
	USIM Initialization after SMS-PP data download	R99	1.6	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	E.1/24 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	USIM Application Reset	R99	1.7				C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	C146 AND C177 AND C178 AND C180 AND C183	E1/24 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	UICC Reset for IMSI Changing procedure	R99	2.1						M	M	M	M	M	M	M	E1/24	UMTS System Simulator or System Simulator only		
	USIM Application Reset for IMSI Changing procedure	R99	2.2				M	M	M	M	M	M	M	M	M	E.1/24	Yes		
	3G Session Reset for IMSI Changing procedure	R99	2.3						M	M	M	M	M	M	M	E1/24	UMTS System Simulator or System Simulator only		
	reject 3G Session Reset for IMSI Changing procedure during CScall	R99	2.4				C177 AND C178 AND C180	C177 AND C178 AND C180	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E 1/24 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	reject UICC Reset for IMSI Changing procedure during CS call	R99	2.5						C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	C177 AND C178 AND C180 AND C183	E1/24 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	UICC Reset for IMSI Changing procedure during active PDP context	R99	2.6						C215	C215	C215	C215	C215	C215	C215	E1/24	UMTS System Simulator or System Simulator only		
	3G Session Reset for IMSI Change procedure during active PDP context	R99	2.7						C215	C215	C215	C215	C215	C215	C215	E1/24	UMTS System Simulator or System Simulator only		
	Steering of roaming, UTRAN	Rel-7	3.1					M	C184	C184	C184	C184	C184	C184	C184	E.1/24 AND E.1/236	UMTS System Simulator only		
	Steering of roaming, InterRAT	Rel-7	3.2					C167	C167 AND C184	C167 AND C184	C167 AND C184	C167 AND C184	C167 AND C184	C167 AND C184	C167 AND C184	E.1/24 AND E.1/236	UMTS System Simulator and System Simulator		
	Steering of roaming, E-UTRAN	Rel-8	3.3						C190	C190	C190	C190	C190	C222	C222	E.1/24 AND AND E.1/135 AND E.1/236	E-USS or NB-SS (See NOTE)		
	Refresh with AID, E-UTRAN or UTRAN	Rel-8	4.1					C203	C202 OR C203	C202 OR C203	C202 OR C203	C202 OR C203	C202 OR C203	C202 OR C203	C202 OR C203	E.1/24 	E-USS only or UMTS System Simulator		
	UICC Reset for IMSI Changing procedure, E-UTRAN	Rel-8	5.1						C190	C190	C190	C190	C190	C222	C222	E.1/24 	E-USSor NB-SS (See NOTE) 		
	3G Session Reset for IMSI Changing procedure, E-UTRAN	Rel-8	5.2						C190	C190	C190	C190	C190	C222	C222	E.1/24 	E-USSor NB-SS (See NOTE) 		
11	SET UP MENU 27.22.4.8																		
	Set up, menu selection, replace and remove menu	R99	1.1	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/30 AND E.1/4 AND E.1/110 AND E.1/111	No		
	Large menu	R99	1.2	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/30 AND E.1/4 AND E.1/110 AND E.1/111	No		
	help information	R99	2.1	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	E.1/30 AND E.1/4 AND E.1/110 AND E.1/111	No		
	next action indicator	R99	3.1	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/30 AND E.1/110 AND E.1/111	No		
	Icons	R99	4.1, 4.2	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	E.1/30 AND E.1/110 AND E.1/111	No		
	soft key access 	R99	5.1	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	E.1/30 AND E.1/74 AND E.1/110 AND E.1/111	No		
	Text attribute – left alignment	Rel-5	6.1			C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/217 AND E.1/110 AND E.1/111	No		
	Text attribute – center alignment	Rel-5	6.2			C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/218 AND E.1/110 AND E.1/111	No		
	Text attribute – right alignment	Rel-5	6.3			C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/219 AND E.1/110 AND E.1/111	No		
	Text attribute – large font size	Rel-5	6.4			C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110 AND E.1/111	No		
	Text attribute – small font size	Rel-5	6.5			C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110 AND E.1/111	No		
	Text attribute – bold on	Rel-5	6.6			C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110 AND E.1/111	No		
	Text attribute – italic on	Rel-5	6.7			C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110 AND E.1/111	No		
	Text attribute – underlined on	Rel-5	6.8			C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110 AND E.1/111	No		
	Text attribute – strikethrough on	Rel-5	6.9			C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110 AND E.1/111	No		
	Text attribute – foreground and background colours	Rel-5	6.10			C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	E.1/30 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110 AND E.1/111	No		
	UCS2 display in Cyrillic	R99	7.1			C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	E.1/39 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 display in Chinese	R99	8.1			C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	E.1/39 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 display in Katakana	R99	9.1			C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	E.1/39 AND E.1/15 AND E.1/110 AND E.1/111	No		
12	SELECT ITEM 27.22.4.9																		
	Mandatory features	R99	1.1	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/25 AND E.1/110 AND E.1/111	No		
	Large menu	R99	1.2, 1.3, 1.5,1.6	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/25 AND E.1/110 AND E.1/111	No		
	Backwards move	R99	1.4	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/25 AND E.1/110 AND E.1/111	No		
	user termination	R99	1.5	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/25 AND E.1/110 AND E.1/111	No		
	next action indicator	R99	2.1	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/25 AND E.1/110 AND E.1/111	No		
