Clause	Title	Release	Applicability	Additional Information
			Condition	Comments	Number of TC Executions	Release on other RAT	Branch
7.3.4	E-UTRAN TDD Radio Link Monitoring Test for In-Sync	Rel-8	C02i	UE supporting E-UTRA TDD but not 4Rx antenna ports on all supported TDD operating bands			
7.3.4_1	E-UTRAN TDD Radio Link Monitoring Test for In-sync with 4 Rx antenna ports	Rel-10	C143	UE supporting E-UTRA TDD and 4Rx antenna ports on all supported TDD operating bands			
7.3.5	E-UTRAN FDD Radio Link Monitoring Test for Out-of-sync in DRX	Rel-8	C01j	UE supporting E-UTRA FDD but not 4Rx antenna ports on all supported FDD operating bands and Feature Group Indicator 5			
7.3.5_1	E-UTRAN FDD Radio Link Monitoring Test for Out-of-sync in DRX with 4 Rx antenna ports	Rel-10	C181	UE supporting E-UTRA FDD and Feature Group Indicator 5 and 4Rx antenna ports on all supported FDD operating bands			
7.3.6	E-UTRAN FDD Radio Link Monitoring Test for In-sync in DRX	Rel-8	C01j	UE supporting E-UTRA FDD but not 4Rx antenna ports on all supported FDD operating bands and Feature Group Indicator 5			
7.3.6_1	E-UTRAN FDD Radio Link Monitoring Test for In-sync in DRX with 4 Rx antenna ports	Rel-10	C181	UE supporting E-UTRA FDD and 4Rx antenna ports on all supported FDD operating bands and Feature Group Indicator 5 			
7.3.7	E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync in DRX	Rel-8	C02j	UE supporting E-UTRA TDD but not 4Rx antenna ports on all supported TDD operating bands and Feature Group Indicator 5			
7.3.7_1	E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync in DRX with 4 Rx antenna ports	Rel-10	C182	UE supporting E-UTRA TDD and 4Rx antenna ports on all supported TDD operating bands and Feature Group Indicator 5			
7.3.8	E-UTRAN TDD Radio Link Monitoring Test for In-sync in DRX	Rel-8	C02j	UE supporting E-UTRA TDD but not 4Rx antenna ports on all supported TDD operating bands and Feature Group Indicator 5			
7.3.8_1	E-UTRAN TDD Radio Link Monitoring Test for In-sync in DRX with 4 Rx antenna ports	Rel-10	C182	UE supporting E-UTRA TDD and 4Rx antenna ports on all supported TDD operating bands and Feature Group Indicator 5			
7.3.9	E-UTRAN FDD Radio Link Monitoring Test for Out-of-sync under Time Domain Measurement Resource Restriction with Non MBSFN ABS (eICIC)	Rel-10	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
7.3.10	E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync under Time Domain Measurement Resource Restriction with Non MBSFN ABS (eICIC)	Rel-10	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
7.3.11	E-UTRAN FDD Radio Link Monitoring Test for In-sync under Time Domain Measurement Resource Restriction with Non MBSFN ABS (eICIC)	Rel-10	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
7.3.12	E-UTRAN TDD Radio Link Monitoring Test for In-sync under Time Domain Measurement Resource Restriction with Non MBSFN ABS (eICIC)	Rel-10	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
7.3.13	E-UTRAN FDD Radio Link Monitoring Test for Out-of-sync under Time Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
7.3.14	E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync under Time Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
7.3.15	E-UTRAN FDD Radio Link Monitoring Test for In-sync under Time Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
7.3.16	E-UTRAN TDD Radio Link Monitoring Test for In-sync under Time Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
7.3.17	E-UTRAN FDD Radio Link Monitoring Test for Out-of-sync under Time Domain Measurement Resource Restriction with CRS assistance information and Non MBSFN ABS (feICIC)	Rel-11	C59	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115			
7.3.18	E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync under Time Domain Measurement Resource Restriction with CRS assistance information and Non MBSFN ABS (feICIC)	Rel-11	C60	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115			
7.3.19	E-UTRAN FDD Radio Link Monitoring Test for In-sync under Time Domain Measurement Resource Restriction with CRS assistance information and Non-MBSFN ABS (feICIC)	Rel-11	C59	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115			
7.3.20	E-UTRAN TDD Radio Link Monitoring Test for In-sync under Time Domain Measurement Resource Restriction with CRS assistance information and Non-MBSFN ABS (feICIC)	Rel-11	C60	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115			
7.3.21	E-UTRAN FDD Radio Link Monitoring Test for In-sync under Time Domain Measurement Resource Restriction with CRS assistance information and MBSFN ABS (feICIC)	Rel-11	C59	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115			
7.3.22	E-UTRAN TDD Radio Link Monitoring Test for In-sync under Time Domain Measurement Resource Restriction with CRS assistance information and MBSFN ABS (feICIC)	Rel-11	C60	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115			
7.3.23	E-UTRAN FDD Radio Link Monitoring Test for Out-of-sync for 5MHz Bandwidth	Rel-8	C49	UE supporting E-UTRA FDD and only E-UTRA Band 31			
7.3.24	E-UTRAN FDD Radio Link Monitoring Test for In-sync for 5MHz Bandwidth	Rel-8	C49	UE supporting E-UTRA FDD and only E-UTRA Band 31			
7.3.25	E-UTRAN FDD Radio Link Monitoring Test for In-sync in DRX for 5MHz Bandwidth	Rel-8	C56	UE supporting E-UTRA FDD and only E-UTRA Band 31 and Feature Group Indicator 5			
7.3.26	E-UTRAN FD-FDD Radio Link Monitoring Test for Out-of-sync for UE category 0	Rel-12	C94	UE supporting E-UTRA FD-FDD and UE Category 0			
7.3.27	E-UTRAN FD-FDD Radio Link Monitoring Test for In-sync for UE category 0	Rel-12	C94	UE supporting E-UTRA FD-FDD and UE Category 0			
7.3.28	E-UTRAN FD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category 0	Rel-12	C95	UE supporting E-UTRA FD-FDD and Feature Group Indicator 5 and UE Category 0			
7.3.29	E-UTRAN FD-FDD Radio Link Monitoring Test for In-sync in DRX for UE category 0	Rel-12	C95	UE supporting E-UTRA FD-FDD and Feature Group Indicator 5 and UE Category 0			
7.3.30	E-UTRAN HD-FDD Radio Link Monitoring Test for Out-of-sync for UE category 0	Rel-12	C110	UE supporting E-UTRA HD-FDD and UE Category 0			
7.3.31	E-UTRAN HD-FDD Radio Link Monitoring Test for In-sync for UE category 0	Rel-12	C110	UE supporting E-UTRA HD-FDD and UE Category 0			
7.3.32	E-UTRAN HD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category 0	Rel-12	C111	UE supporting E-UTRA HD-FDD and Feature Group Indicator 5 and UE Category 0			
7.3.33	E-UTRAN HD-FDD Radio Link Monitoring Test for In-sync in DRX for UE category 0	Rel-12	C111	UE supporting E-UTRA HD-FDD and Feature Group Indicator 5 and UE Category 0			
7.3.34	E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync for UE category 0	Rel-12	C93	UE supporting E-UTRA TDD and UE Category 0			
7.3.35	E-UTRAN TDD Radio Link Monitoring Test for In-sync for UE category 0	Rel-12	C93	UE supporting E-UTRA TDD and UE Category 0			
7.3.36	E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category 0	Rel-12	C96	UE supporting E-UTRA TDD and Feature Group Indicator 5 and UE Category 0			
7.3.37	E-UTRAN TDD Radio Link Monitoring Test for In-sync in DRX for UE category 0	Rel-12	C96	UE supporting E-UTRA TDD and Feature Group Indicator 5 and UE Category 0			
7.3.38	E-UTRAN FDD-FDD DC Radio Link Monitoring Test for Out-of-sync in DRX in synchronous DC	Rel-12	C123b	UE supporting E-UTRA FDD and Dual Connectivity but not 4Rx antenna ports on all supported FDD operating bands			
7.3.38_1	E-UTRAN FDD-FDD DC Radio Link Monitoring Test for Out-of-sync in DRX in synchronous DC with 4 Rx antenna ports	Rel-12	C185	UE supporting E-UTRA FDD and Dual Connectivity and 4Rx antenna ports on all supported FDD operating bands			
7.3.39	E-UTRAN FDD-FDD DC Radio Link Monitoring Test for Out-of-sync in DRX in asynchronous DC	Rel-12	C125a	UE supporting E-UTRA FDD and asynchronous Dual Connectivity but not 4Rx antenna ports on all supported FDD operating bands			
7.3.39_1	E-UTRAN FDD-FDD DC Radio Link Monitoring Test for Out-of-sync in DRX in asynchronous DC with 4 Rx antenna ports	Rel-12	C186	UE supporting E-UTRA FDD and asynchronous Dual Connectivity and 4Rx antenna ports on all supported FDD operating bands			
7.3.40	E-UTRAN TDD-TDD DC Radio Link Monitoring Test for Out-of-sync in DRX in synchronous DC	Rel-12	C124	UE supporting E-UTRA TDD and Dual Connectivity			
7.3.41	E-UTRAN FDD-FDD Radio Link Monitoring Test for In-sync in DRX in synchronous dual connectivity	Rel-12	C123	UE supporting E-UTRA FDD and Dual Connectivity			
7.3.42	E-UTRAN FDD-FDD DC Radio Link Monitoring Test for In-sync in DRX in asynchronous DC	Rel-12	C125	UE supporting E-UTRA FDD and asynchronous Dual Connectivity			
7.3.43	E-UTRAN TDD-TDD Radio Link Monitoring Test for In-sync in DRX in synchronous dual connectivity	Rel-12	C124	UE supporting E-UTRA TDD and Dual Connectivity			
7.3.44	E-UTRAN TDD-FDD DC Radio Link Monitoring Test for Out-of-sync in DRX in synchronous DC with PCell in FDD	Rel-12	C123a	UE supporting E-UTRA FDD and E-UTRA TDD and Dual Connectivity			
7.3.45	E-UTRAN TDD-FDD DC Radio Link Monitoring Test for Out-of-sync in DRX in synchronous DC with PCell in TDD	Rel-12	C123a	UE supporting E-UTRA FDD and E-UTRA TDD and Dual Connectivity			
7.3.46	E-UTRAN TDD-FDD Radio Link Monitoring Test for In-sync in DRX for PSCell in synchronous DC with PCell in FDD	Rel-12	C123a	UE supporting E-UTRA FDD and E-UTRA TDD and Dual Connectivity			
7.3.47	E-UTRAN TDD-FDD Radio Link Monitoring Test for In-sync in DRX for PSCell in synchronous DC with PCell in TDD	Rel-12	C123a	UE supporting E-UTRA FDD and E-UTRA TDD and Dual Connectivity			
7.3.48	E-UTRAN FD-FDD Radio Link Monitoring Test for Out-of-sync for Cat-M1 UE in CEMode A	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
7.3.49	E-UTRAN FD-FDD Radio Link Monitoring Test for In-Sync for Cat-M1 UE in CEMode A	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
7.3.50	E-UTRAN FD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category M1 configured in CEMode A	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
7.3.51	E-UTRAN FD-FDD Radio Link Monitoring Test for In-sync in DRX for UE Category M1 configured in CEMode A	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
7.3.52	E-UTRAN HD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category CAT-M1	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
7.3.53	E-UTRAN HD-FDD Radio Link Monitoring Test for In-sync for UE category CAT-M1	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
7.3.54	E-UTRAN HD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category M1 configured in CEMode A	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
7.3.55	E-UTRAN HD-FDD Radio Link Monitoring Test for In-sync in DRX for UE Category M1 configured in CEMode A	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
7.3.56	E-UTRAN TDD Radio Link Monitoring Test for Out-of-sync for Cat-M1 UE in CEMode A	Rel-13	C93a	UE supporting E-UTRA TDD and UE Category M1			
7.3.57	E-UTRAN TDD Radio Link Monitoring Test for In-Sync for Cat-M1 UE in CEMode A	Rel-13	C93a	UE supporting E-UTRA TDD and UE Category M1			
7.3.58	E- UTRAN TDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category M1 configured in CEMode A	Rel-13	C93c	UE supporting E-UTRA TDD and UE Category M1 and Feature Group Indicator 5			
7.3.59	E- UTRAN TDD Radio Link Monitoring Test for In-sync in DRX for UE category M1 configured in CEMode A	Rel-13	C93c	UE supporting E-UTRA TDD and UE Category M1 and Feature Group Indicator 5			
7.3.60	HD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category NB1 In-band mode in normal coverage	Rel-13	C155	UE supporting category NB1 and Feature Group Indicators 5			
7.3.61	HD-FDD Radio Link Monitoring Test for Out-of-sync in DRX for UE category NB1 In-band mode in Enhanced Coverage	Rel-13	C155	UE supporting category NB1 and Feature Group Indicators 5			
7.3.62	HD-FDD Radio Link Monitoring Test for In-sync with DRX for UE Category NB1 In-Band mode in Enhanced Coverage	Rel-13	C155	UE supporting category NB1 and Feature Group Indicators 5			
7.3.63	HD-FDD Radio Link Monitoring Test for In-sync with DRX for UE Category NB1 In-Band mode in Normal Coverage	Rel-13	C155	UE supporting category NB1 and Feature Group Indicators 5			
7.3.64	HD-FDD Radio Link Monitoring Test for In-sync without DRX for UE Category NB1 In-Band mode in Normal Coverage	Rel-13	C154	UE supporting category NB1			
7.3.65	HD-FDD Radio Link Monitoring Test for In-sync without DRX for UE Category NB1 In-Band mode in Enhanced Coverage	Rel-13	C154	UE supporting category NB1			
7.3.66	HD-FDD Radio Link Monitoring Test for Out-of-sync without DRX for UE Category NB1 Standalone mode in Normal Coverage	Rel-13	C154	UE supporting category NB1			
7.3.67	HD-FDD Radio Link Monitoring Test for Out-of-sync without DRX for UE Category NB1 guard band mode in Enhanced Coverage	Rel-13	C154	UE supporting category NB1			
7.4.1	E-UTRAN FDD-FDD DC interruption at transitions between active and non-active during DRX in synchronous DC	Rel-12	C175	UE supporting E-UTRA FDD, Dual Connectivity and Feature Group Indicator 5 	It is not necessary for DC ASYNCH UEs to be tested in this test if 7.4.3 case is executed. (Note 2)		
7.4.2	E-UTRAN TDD-TDD DC interruption at transitions between active and non-active during DRX in synchronous DC	Rel-12	C136	UE supporting E-UTRA TDD, Dual Connectivity and Feature Group Indicator 5	It is not necessary for DC ASYNCH UEs to be tested in this test if 7.4.4 case is executed. (Note 2)		
7.4.3	E-UTRAN FDD-FDD Interruption at transitions between active and non-active during DRX in asynchronous dual connectivity	Rel-12	C135	UE supporting E-UTRA FDD, Dual Connectivity Asynch and Feature Group Indicator 5			
UE Measurements Procedures	
8.1.1	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells	Rel-8	C01	UE supporting E-UTRA FDD			2Rx, 4Rx
8.1.2	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells	Rel-8	C01c	UE supporting E-UTRA FDD and Feature Group Indicator 5			2Rx, 4Rx
8.1.3	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells with DRX	Rel-8	C01c	UE supporting E-UTRA FDD and Feature Group Indicator 5			2Rx, 4Rx
8.1.4	Void						
8.1.5	E-UTRAN FDD - FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps	Rel-9	C13	UE supporting E-UTRA FDD and intra-frequency SI acquisition in FDD for HO			2Rx, 4Rx
8.1.6	E-UTRAN FDD - FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX	Rel-9	C13	UE supporting E-UTRA FDD and intra-frequency SI acquisition in FDD for HO			2Rx, 4Rx
8.1.7	E-UTRAN FDD-FDD Intra-Frequency Event-Triggered Reporting under Time Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC)	Rel-10	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
8.1.8	E-UTRAN FDD-FDD Intra-Frequency Event-Triggered Reporting under Time Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS (feICIC)	Rel-11	C59	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115			
8.1.9	E-UTRAN FDD-FDD intra frequency event triggered reporting under fading propagation conditions in asynchronous cells for 5MHz bandwidth	Rel-8	C49	UE supporting E-UTRA FDD and only E-UTRA Band 31			
8.1.10	E-UTRAN FDD-FDD intra frequency event triggered reporting under fading propagation conditions in synchronous cells with DRX for 5MHz bandwidth	Rel-8	C56	UE supporting E-UTRA FDD and only E-UTRA Band 31 and Feature Group Indicator 5			
8.1.11	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for UE category 0	Rel-12	C94	UE supporting E-UTRA FD-FDD and UE Category 0			
8.1.12	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for UE category 0	Rel-12	C95	UE supporting E-UTRA FD-FDD and Feature Group Indicator 5 and UE Category 0			
8.1.13	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells with DRX for UE category 0	Rel-12	C95	UE supporting E-UTRA FD-FDD and Feature Group Indicator 5 and UE Category 0			
8.1.14	E-UTRAN HD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for UE category 0	Rel-12	C112	UE supporting E-UTRA HD-FDD and Feature Group Indicator 5 and UE Category 0			
8.1.15	E-UTRAN HD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for UE category 0	Rel-12	C112	UE supporting E-UTRA HD-FDD and Feature Group Indicator 5 and UE Category 0			
8.1.16	E-UTRAN HD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells with DRX for UE category 0	Rel-12	C112	UE supporting E-UTRA HD-FDD and Feature Group Indicator 5 and UE Category 0			
8.1.17	E-UTRAN TDD-TDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for UE category 0	Rel-12	C96	UE supporting E-UTRA TDD and Feature Group Indicator 5 and UE Category 0			
8.1.18	E-UTRAN TDD-TDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells with DRX for UE category 0	Rel-12	C96	UE supporting E-UTRA TDD and Feature Group Indicator 5 and UE Category 0			
8.1.19	E-UTRAN FD - FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps for UE category 0	Rel-12	C108	UE supporting E-UTRA FD-FDD, CSG and intra-frequency SI acquisition in FDD for HO and Category 0			
8.1.20	E-UTRAN FDD - FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX for UE category 0	Rel-12	C108	UE supporting E-UTRA FD-FDD, CSG and intra-frequency SI acquisition in FDD for HO and Category 0			
8.1.21	E-UTRAN HD - FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps for UE category 0	Rel-12	C109	UE supporting E-UTRA HD-FDD, CSG and intra-frequency SI acquisition in FDD for HO and Category 0			
8.1.22	E-UTRAN HD- FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX for UE category 0	Rel-12	C109	UE supporting E-UTRA HD-FDD, CSG and intra-frequency SI acquisition in FDD for HO and Category 0			
8.1.23	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for Cat-M1 UE in CEModeA	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
8.1.24	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for Cat-M1 UE in CEModeA	Rel-13	C94a	UE supporting E-UTRA FD-FDD and UE Category M1			
8.1.25	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeA in DRX	Rel-13	C94b	UE supporting E-UTRA FD-FDD and UE Category M1 and Feature Group Indicator 5			
8.1.26	E-UTRAN HD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for Cat-M1 UE in CEModeA	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
8.1.27	E-UTRAN HD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeA	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
8.1.28	E-UTRAN HD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeA in DRX	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
8.1.29	E-UTRAN TDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeA	Rel-13	C93a	UE supporting E-UTRA TDD and UE Category M1			
8.1.30	E-UTRAN TDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeA in DRX	Rel-13	C93c	UE supporting E-UTRA TDD and UE Category M1 and Feature Group Indicator 5			
8.1.31	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for Cat-M1 UE in CEModeB	Rel-13	C94e	UE supporting E-UTRA FD-FDD and (UE category M1 and CE Mode B)			
8.1.32	E-UTRAN FDD-FDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeB	Rel-13	C94e	UE supporting E-UTRA FD-FDD and (UE category M1 and CE Mode B)			
8.1.33	E-UTRAN HD-FDD Intra-frequency event triggered reporting under fading propagation conditions in asynchronous cells for Cat-M1 UE in CEModeB	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
8.1.34	E-UTRAN HD-FDD Intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeB	Rel-13	C107a	UE supporting E-UTRA HD-FDD and UE Category M1			
8.1.35	E-UTRAN TDD Intra-frequency event triggered reporting under fading propagation conditions in synchronous cells for Cat-M1 UE in CEModeB	Rel-13	C93a	UE supporting E-UTRA TDD and UE Category M1			
8.1.36	E-UTRAN FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps for Cat-M1 UE in CEModeB	Rel-13	C94g	UE supporting E-UTRA FD- FDD and (UE Category M1 and CE Mode B) and intra-frequency SI acquisition for HO			
8.1.37	E-UTRAN FDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX for Cat-M1 UE in CEModeB	Rel-13	C94g	UE supporting E-UTRA FD-FDD and (UE Category M1 and CE Mode B) and intra-frequency SI acquisition for HO			
8.2.1	E-UTRAN TDD-TDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells	Rel-8	C02c	UE supporting E-UTRA TDD and Feature Group Indicator 5			2Rx, 4Rx
8.2.2	E-UTRAN TDD-TDD intra-frequency event triggered reporting under fading propagation conditions in synchronous cells with DRX	Rel-8	C02c	UE supporting E-UTRA TDD and Feature Group Indicator 5			2Rx, 4Rx
8.2.3	E-UTRAN TDD - TDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps	Rel-9	C15	UE supporting E-UTRA TDD and intra-frequency SI acquisition in TDD for HO.			2Rx, 4Rx
8.2.4	E-UTRAN TDD - TDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX	Rel-9	C15	UE supporting E-UTRA TDD and intra-frequency SI acquisition in TDD for HO			2Rx, 4Rx
8.2.5	E-UTRAN TDD-TDD Intra-Frequency Event-Triggered Reporting under Time Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC)	Rel-10	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
8.2.6	E-UTRAN TDD-TDD Intra-Frequency Event-Triggered Reporting under Time Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS (feICIC)	Rel-11	C60	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115			
8.2.7	E-UTRAN TDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps for UE category 0	Rel-12	C113	UE supporting E-UTRA TDD, CSG. inter-frequency SI acquisition in TDD for HO and Feature Group Indicator 5 and UE Category 0			
8.2.8	E-UTRAN TDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX for UE category 0	Rel-12	C113	UE supporting E-UTRA TDD, CSG. inter-frequency SI acquisition in TDD for HO and Feature Group Indicator 5 and UE Category 0			
8.2.9	E-UTRAN TDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps for Cat-M1 UE in CEModeB	Rel-13	C93f	UE supporting E-UTRA TDD and (UE Category M1 and CE Mode B) and intra-frequency SI acquisition for HO			
8.2.10	E-UTRAN TDD Intra-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX for Cat-M1 UE in CEModeB	Rel-13	C93f	UE supporting E-UTRA TDD and (UE Category M1 and CE Mode B) and intra-frequency SI acquisition for HO			
8.3.1	E-UTRAN FDD-FDD inter-frequency event triggered reporting under fading propagation conditions in asynchronous cells	Rel-8	C01b	UE supporting E-UTRA FDD and Feature Group Indicator 25	It is not necessary for CA UEs to be tested in this test if 8.20.1 case is executed.		2Rx, 4Rx
8.3.2	E-UTRAN FDD-FDD inter-frequency event triggered reporting when DRX is used under fading propagation conditions in asynchronous cells	Rel-8	C01e	UE supporting E-UTRA FDD and Feature Group Indicators 5 and 25			2Rx, 4Rx
8.3.3	E-UTRAN FDD-FDD inter frequency event triggered reporting under AWGN propagation conditions in asynchronous cells with DRX when L3 filtering is used	Rel-8	C01e	UE supporting E-UTRA FDD and Feature Group Indicators 5 and 25			2Rx, 4Rx
8.3.4	E-UTRAN FDD - FDD Inter-frequency identification of a new CGI of E-UTRA cell using autonomous gaps	Rel-9	C14	UE supporting E-UTRA FDD and inter-frequency SI acquisition in FDD for HO			2Rx, 4Rx
8.3.5	E-UTRAN FDD - FDD Inter-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX	Rel-9	C14	UE supporting E-UTRA FDD and inter-frequency SI acquisition in FDD for HO			2Rx, 4Rx
8.3.6	E-UTRAN FDD-FDD Inter-frequency event triggered reporting without measurement gaps under AWGN propagation conditions in asynchronous cells	Rel-10	C47	UE supporting E-UTRA FDD and Feature Group Indicator 25 and Measurement without gaps			2Rx, 4Rx
8.4.1	E-UTRAN TDD-TDD inter-frequency event triggered reporting under fading propagation conditions in synchronous cells	Rel-8	C02b	UE supporting E-UTRA TDD and Feature Group Indicator 25	It is not necessary for CA UEs to be tested in this test if 8.20.2 case is executed.		2Rx, 4Rx
8.4.2	E-UTRAN TDD-TDD inter-frequency event triggered reporting when DRX is used under fading propagation conditions in synchronous cells	Rel-8	C02e	UE supporting E-UTRA TDD and Feature Group Indicators 5 and 25			2Rx, 4Rx
8.4.3	E-UTRAN TDD-TDD inter-frequency event triggered reporting under AWGN propagation conditions in synchronous cells with DRX when L3 filtering is used	Rel-8	C02e	UE supporting E-UTRA TDD and Feature Group Indicators 5 and 25			2Rx, 4Rx
8.4.4	E-UTRAN TDD - TDD Inter-frequency identification of a new CGI of E-UTRA cell using autonomous gaps	Rel-9	C16	UE supporting E-UTRA TDD and inter-frequency SI acquisition in TDD for HO			2Rx, 4Rx
8.4.5	E-UTRAN TDD - TDD Inter-frequency identification of a new CGI of E-UTRA cell using autonomous gaps with DRX	Rel-9	C16	UE supporting E-UTRA TDD and inter-frequency SI acquisition in TDD for HO			2Rx, 4Rx
8.4.6	E-UTRAN TDD-TDD Inter-frequency event triggered reporting for TDD UL/DL configuration 0	Rel-12	C02b	UE supporting E-UTRA TDD and Feature Group Indicator 25			2Rx, 4Rx
8.5.1	E-UTRAN FDD-UTRAN FDD event triggered reporting under fading propagation conditions	Rel-8	C04g	UE supporting E-UTRA FDD and UTRA FDD and Feature Group Indicators 15 and 22	It is not necessary for CA UEs to be tested in this test if 8.20.3 case is executed.		2Rx, 4Rx
