Item	Description	Release	Test sequence (s)	Rel 96 ME	Rel 97 ME	Rel 98  ME	Rel 99 ME	Rel-4 ME	Terminal  Profile	Network Dependency	Support	Recommendation for terminals also supporting USAT	Additional test case execution parameter
	Icons – basic icon	R98	2.1, 2.3			C114 AND C139	C114 AND C139	C114 AND C139	E.1/62 AND E.1/110	No			
	Icons – colour icon	R98	2.2 2.4, 			C136 AND C139	C136 AND C139	C136 AND C139	E.1/62 AND E.1/110	No			
	basic icon non self-explanatory, no alpha identifier presented	R98	2.5			C148 AND C139	C148 AND C139	C148 AND C139	E.1/62 AND E.1/110	No			
28	SEND DTMF 27.22.4.24												
	Normal	R98	1.1			C142	C142	C142	E.1/66	Yes		AER001	
	alpha identifier	R98	1.2, 1.3			C142	C142	C142	E.1/66 AND E.1/110	Yes			TCEP001
	Mobile is not in a speech call	R98	1.4			C142	C142	C142	E.1/66 AND E.1/110	Yes		AER001	TCEP001
	Icons – basic icon	R98	2.1, 2.3			C108 AND C142	C108 AND C142	C108 AND C142	E.1/66 AND E.1/110	Yes			TCEP001
	Icons – colour icon	R98	2.2			C134 AND C142	C134 AND C142	C134 AND C142	E.1/66 AND E.1/110	Yes			TCEP001
	UCS2 display	R98	3.1			C118 AND C142	C118 AND C142	C118 AND C142	E.1/66 AND E.1/15 AND E.1/110	Yes			TCEP001
29	LANGUAGE NOTIFICATION 27.22.4.25												
	Specific language notification 	R99	1.1				C143 AND C158	C143 AND C158	E.1/70	No			
	Non specific language notification	R99	1.2				C143 AND C158	C143 AND C158	E.1/70	No			
30	LAUNCH BROWSER 27.22.4.26												
	No session already launched: Connect to the default URL	R99 	1.1				C111 AND C139 AND C140 AND C154	C111 AND C139 AND C140 AND C154	E.1/71 AND E.1/110 AND E.1/111	Yes			
	connect to the specified URL, alpha identifier length=0	R99 	1.2				C111 AND C139 AND C140	C111 AND C139 AND C140	E.1/71 AND E.1/110 AND E.1/111	Yes			
	Browser identity, no alpha identifier	R99 	1.3				C111 AND C139 AND C140	C111 AND C139 AND C140	E.1/71 AND E.1/110 AND E.1/111	Yes			
	one bearer specified and gateway/proxy identity	R99 	1.4				C122 AND C139 AND C140	C122 AND C139 AND C140	E.1/71 AND E.1/110 AND E.1/111	Yes			
	void	R99 	1.5				Void	Void	Void				
	ME does not support Launch Browser with Default URL	R99	1.6				C111 AND C139 AND C140 AND C155	C111 AND C139 AND C140 AND C155	E.1/71 AND E.1/110 AND E.1/111	Yes			
	Interaction with current session	R99 	2.1, 2.2				C111 AND C139 AND C140	C111 AND C139 AND C140	E.1/71 AND E.1/110 AND E.1/111	Yes			
	Interaction with current session	R99	2.3				C111 AND C139 AND C140	C111 AND C139 AND C140	E.1/71 AND E.1/110 AND E.1/111	Yes		AER001	
	UCS2 display	R99 	3.1				C117 AND C139 AND C140	C117 AND C139 AND C140	E.1/71 AND E.1/15 AND E.1/110 AND E.1/111	Yes			
	Icons – basic icon	R99 	4.1, 4.2				C115 AND C139 AND C140	C115 AND C139 AND C140	E.1/71 AND E.1/110 AND E.1/111	Yes			
31	OPEN CHANNEL 27.22.4.27												
	Void	R99	1.1 - 1.10				Void	Void	Void				
	immediate link establishment, GPRS, no local address, no alpha identifier, no network access name	R99	2.1				C121	C121	E.1/89 AND E.1/98	Yes			
	immediate link establishment GPRS, no alpha identifier, with network access name	R99	2.2				C121	C121	E.1/89 AND E.1/98	Yes			
	immediate link establishment, GPRS, with alpha identifier	R99	2.3				C121	C121	E.1/89 AND E.1/98 AND E.1/110 AND E.1/111	Yes			TCEP001, TCEP002
	immediate link establishment, GPRS, with null alpha identifier	R99	2.4				C121	C121	E.1/89 AND E.1/98	Yes			TCEP001
	immediate link establishment, GPRS, command performed with modifications (buffer size)	R99	2.5				C127	C127	E.1/89 AND E.1/98	Yes			
	Void	Void	2.6				Void	Void	Void				
	immediate link establishment, GPRS, open command with alpha identifier, User did not accept the proactive command	R99	2.7				C130 AND C139	C130 AND C139	E.1/89 AND E.1/98 AND E.1/110 AND E.1/111	Yes			TCEP001, TCEP002
	GPRS, ME busy on call	R99	2.8				C128	C128	E.1/89 AND E.1/98	Yes			
32	CLOSE CHANNEL 27.22.4.28												
	successful	R99 	1.1				C121	C121	E.1/89 AND E.1/90 	Yes			
	with an invalid channel identifier	R99 	1.2				C121	C121	E.1/89 AND E.1/90	Yes		AER001	
	on an already closed channel	R99	1.3				C121	C121	E.1/90	Yes		AER001	
33	RECEIVE DATA 27.22.4.29												
	already opened channel	R99	1.1				C121	C121	E.1/89 AND E.1/91 AND E.1/92	Yes			
34	SEND DATA 27.22.4.30												
	immediate mode	R99	1.1				C121	C121	E.1/89 AND E.1/92	Yes			
	Store mode	R99	1.2				C121	C121	E.1/89 AND E.1/92	Yes		AER001	
	Store mode, Tx buffer fully used	R99	1.3				C121	C121	E.1/89 AND E.1/92	Yes		AER001	
	2 consecutive SEND DATA Store mode	R99	1.4				C121	C121	E.1/89 AND E.1/92	Yes		AER001	
	immediate mode with a bad channel identifier	R99	1.5				C121	C121	E.1/89 AND E.1/92	Yes		AER001	
	Void	Void	1.6				Void	Void	Void				
35	GET CHANNEL STATUS 27.22.4.31												
	without any BIP channel opened	R99	1.1				C121	C121	E.1/93	Yes		AER001	
	with a BIP channel currently opened	R99	1.2				C121	C121	E.1/89 AND E.1/93	Yes			
	after a link dropped	R99	1.3				C121	C121	E.1/89 AND E.1/93	Yes		AER001	
36	DATA DOWNLOAD TO SIM 27.22.5												
37	SMS-PP DATA DOWNLOAD 27.22.5.1									Yes			
	[void]		1.1										
	SIM responds with '91 XX'	R96	1.2	M	M	M	M	M	E.1/2	Yes			
	More time	R96	1.3	M	M	M	M	M	E.1/2	Yes			
	8 bit alphabet	R96	1.4	M	M	M	M	M	E.1/2	Yes			
	[void]		1.5										
	Data coding / message class	R96	1.6	M	M	M	M	M	E.1/2	Yes			
38	SMS-CB DATA DOWNLOAD 27.22.5.2												
	ME does not display message	R96	1.1	C151	C151	C151	C151	C151	E.1/3	Yes			
	More time	R96	1.2	C151	C151	C151	C151	C151	E.1/3 AND E.1/20	Yes			
	ME displays message	R96	1.3	C152	C152	C152	C152	C152	E.1/3 AND E.1/110	Yes			
39	CALL CONTROL BY SIM 27.22.6												
	Procedure for MO calls (Cell identity in envelope call control)	R97	1.1, 1.2, 1.4, 1.8 to 1.14		C142	C142	C142	C142	E.1/10 AND  E.1/11 AND E.1/13  AND E.1/29	Yes		AER001	
	Procedure for MO calls (Cell identity in envelope call control)	R97	1.3 A,  1.5 A		C131 AND C139 AND C140 AND C142	C131 AND C139 AND C140 AND C142	C131 AND C139 AND C140 AND C142	C131 AND C139 AND C140 AND C142	E.1/10 AND  E.1/11 AND E.1/13  AND E.1/29 AND E.1/110 AND E.1/111	Yes		AER001	
	Procedure for MO calls (Cell identity in envelope call control)	R97	1.3 B		C132 AND C139 AND C140 AND C142	C132 AND C139 AND C140 AND C142	C132 AND C139 AND C140 AND C142	C132 AND C139 AND C140 AND C142	E.1/10 AND  E.1/11 AND E.1/13  AND E.1/29 AND E.1/110 AND E.1/111	Yes		AER001	
	Procedure for MO calls (Cell identity in envelope call control)	R97	1.5 B		C132 AND C142	C132 AND C142	C132 AND C142	C132 AND C142	E.1/10 AND  E.1/11 AND E.1/13  AND E.1/29 AND E.1/110 AND E.1/111	Yes		AER001	
	Procedure for MO calls (Cell identity in envelope call control)	R97	1.6		C142	C142	C142	C142	E.1/10 AND  E.1/11 AND E.1/13  AND E.1/29	Yes			
	Procedure for MO calls (Cell identity in envelope call control)	R97	1.7 A		C131 AND C139 AND C140 AND C142	C131 AND C139 AND C140 AND C142	C131 AND C139 AND C140 AND C142	C131 AND C139 AND C140 AND C142	E.1/10 AND  E.1/11 AND E.1/13  AND E.1/29 AND E.1/110 AND E.1/111	Yes			
	Procedure for MO calls (Cell identity in envelope call control)	R97	1.7 B		C132 AND C139 AND C140 AND C142	C132 AND C139 AND C140 AND C142	C132 AND C139 AND C140 AND C142	C132 AND C139 AND C140 AND C142	E.1/10 AND  E.1/11 AND E.1/13  AND E.1/29 AND E.1/110 AND E.1/111	Yes			
	Procedure for SS (Cell identity in envelope call control)	R97	2.1, 2.2, 2.3, 2.4		C137	C137	C137	C137	E.1/10 AND E.1/11	Yes			
	Interaction with FDN (Cell identity in envelope call control)	R97	3.1, 3.2, 3.3, 3.4, 3.5		C125 AND C142	C125 AND C142	C125 AND C142	C125 AND C142	E.1/10 AND E.1/110 AND E.1/111	Yes			
	Support of BDN service (Cell identity in envelope call control)	R97	4.1, 4.2, 4.3, 4.4		C126 AND C139 AND C140 AND C142	C126 AND C139 AND C140 AND C142	C126 AND C139 AND C140 AND C142	C126 AND C139 AND C140 AND C142	E.1/10 AND E.1/110 AND E.1/111	Yes			
40	EVENT DOWNLOAD 27.22.7												
	27.22.7.1: MT call event	R97	1.1		C142	C142	C142	C142	E.1/34 AND E.1/33	Yes		AER001	
	27.22.7.2.1: call connected event	R97	1.1		C142	C142	C142	C142	E.1/35 AND E.1/33	Yes		AER001	
	27.22.7.2.2: ME supporting SET UP CALL	R97	2.1		C139 AND C140 AND C142	C139 AND C140 AND C142	C139 AND C140 AND C142	C139 AND C140 AND C142	E.1/35 AND  E.1/29 AND E.1/33 AND E.1/110 AND E.1/111	Yes			
	27.22.7.3: call disconnected event	R97	1.1		C142	C142	C142	C142	E.1/36 AND E.1/33	Yes		AER001	
	27.22.7.4: location status event	R97	1.1		M	M	M	M	E.1/37 AND E.1/33	Yes			
	27.22.7.5: user activity event	R97	1.1		C139	C139	C139	C139	E.1/38 AND E.1/33 AND E.1/111	No		AER001	
	27.22.7.6: idle screen available event	R97	1.1		C139 AND C140	C139 AND C140	C139 AND C140	C139 AND C140	E.1/39 AND E.1/33 AND E.1/110 AND E.1/111	Yes		AER001	
	27.22.7.7.1: Card reader status normal	R98	1.1			C109	C109	C109	E.1/40 AND E.1/33	No			
	27.22.7.7.2: Detachable card reader	R98	2.1			C116	C116	C116	E.1/40 AND E.1/33	No			
	27.22.7.8: language selection event	R99	1.1				C139 AND C140 AND C143 AND C156	C139 AND C140 AND C143 AND C156	E.1/41 AND E.1/33 AND E.1/110 AND E.1/111	No			
	27.22.7.9: Browser termination event	R99	1.1				C149 AND C139 AND C140	C149 AND C139 AND C140	E.1/42 AND E.1/33 AND E.1/110 AND E.1/111	Yes		AER001	
	27.22.7.10: Data available event	R99	1.1				C121	C121	E.1/43  AND E.1/89  AND E.1/33	Yes		AER001	
	27.22.7.11: Channel status event	R99	1.1				C121	C121	E.1/44 AND E.1/89  AND E.1/33	Yes		AER001	
41	MO SMS Control by SIM 27.22.8												
	With proactive command, Allowed , no modification	R98	1.1			M	M	M	E1/12 AND E.1/26 AND E.1/110	Yes			TCEP001
	With user SMS, Allowed , no modification	R98	1.2			M	M	M	E1/12	Yes			
	With proactive command, Not allowed	R98	1.3			M	M	M	E1/12 AND E.1/26 AND E.1/110	Yes			TCEP001
	With user SMS, Not allowed	R98	1.4			M	M	M	E1/12	Yes			
	With proactive command, Allowed, with modifications	R98	1.5			M	M	M	E1/12 AND E.1/26 AND E.1/110	Yes			TCEP001
	With user SMS, Allowed, with modifications	R98	1.6			M	M	M	E1/12	Yes			
	With Proactive command, the SIM responds with '90 00',  Allowed, no modification	R98	1.7			M	M	M	E1/12 AND E.1/26 AND E.1/110	Yes			TCEP001
	Send Short Message attempt by user, the SIM responds with '90 00', Allowed, no modification	R98	1.8			M	M	M	E1/12	Yes			
	Void												
