c	Title	Release	Applicability	Applicability Limitations	Status	Specific PICS Statements	Supported	
26.8.1.2.5.7	Outgoing call/U4 call delivered/traffic channel allocation	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.5.8	Outgoing call/U4 call delivered/unknown message received	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.6.1	U10 call active/termination requested by the user	Phase 2 	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.6.2	U10 call active/RELEASE received	Phase 2	MS supporting at least one MO circuit switched basic service	R1	C36			
26.8.1.2.6.3	U10 call active/DISCONNECT with in band tones	Phase 2	MS supporting at least one MO circuit switched basic service	R1	C36			
26.8.1.2.6.4	U10 call active/DISCONNECT without in band tones	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.6.5	U10 call active/RELEASE COMPLETE received	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.6.6	U10 call active/SETUP received	Phase 2	MS supporting at least one MO circuit switched basic service	R1	C36	TSPC_Serv_SS_CW		
26.8.1.2.6.7	U10 call active/RELEASE received with Normal call clearing	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.7.1	U11 disconnect request/clear collision	Phase 2	MS supporting at least one MO circuit switched basic service	R1	C36			
26.8.1.2.7.2	U11 disconnect request/RELEASE received	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.7.3	U11 disconnect request/timer T305 time-out	Phase 2	MS supporting at least one MO circuit switched basic service	R1	C36			
26.8.1.2.7.4	U11 disconnect request/lower layer failure	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.7.5	U11 disconnect request/unknown message received	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.8.1	U12 disconnect indication/call releasing requested by the user	Phase 2	MS supporting at least one MO circuit switched basic service for telephony		C56			
26.8.1.2.8.2	U12 disconnect indication/RELEASE received	Phase 2	MS supporting at least one MO circuit switched basic service for telephony		C56			
26.8.1.2.8.3	U12 disconnect indication/lower layer failure	Phase 2	MS supporting at least one MO circuit switched basic service for telephony		C56			
26.8.1.2.8.4	U12 disconnect indication/unknown message received	Phase 2	MS supporting at least one MO circuit switched basic service for telephony		C56			
26.8.1.2.9.1	Outgoing call/U19 release request/timer T308 time-out	Phase 2	MS supporting at least one MO circuit switched basic service	R1	C36			
26.8.1.2.9.2	Outgoing call/U19 release request/2nd timer T308 time-out	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.9.3	Outgoing call/U19 release request/RELEASE received	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.9.4	Outgoing call/U19 release request/RELEASE COMPLETE received	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.2.9.5	Outgoing call/U19 release request/lower layer failure	Phase 2	MS supporting at least one MO circuit switched basic service		C36			
26.8.1.3.1.1	Incoming call/U0 null state/SETUP received with a non supported bearer capability	Phase 2	MS supporting CC protocol for at least one Bearer Capability		C43			
26.8.1.3.2.1	Incoming call/U6 call present/automatic call rejection	Phase 2	MS supporting at least one MT circuit switched basic service and supporting refusal of call		C130			
26.8.1.3.3.1	Incoming call/U9 mobile terminating call confirmed/alerting or immediate connecting	Phase 2	MS supporting at least one MT circuit switched basic service	R1	C31	TSPC_AddInfo_ImmConn		
26.8.1.3.3.2	Incoming call/U9 mobile terminating call confirmed/TCH assignment	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.3.3	Void							
26.8.1.3.3.4	Incoming call/U9 mobile terminating call confirmed/DISCONNECT received	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used	R1	C55			
26.8.1.3.3.5	Incoming call/U9 mobile terminating call confirmed/RELEASE received	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.3.6	Incoming call/U9 mobile terminating call confirmed/lower layer failure	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55	TSPC_Type_UTRAN		
26.8.1.3.3.7	Incoming call/U9 mobile terminating call confirmed/unknown message received	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.4.1	Incoming call/U7 call received/call accepted	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.4.2	Incoming call/U7 call received/termination requested by the user	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.4.3	Incoming call/U7 call received/DISCONNECT received	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.4.4	Incoming call/U7 call received/RELEASE received	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.4.5	Incoming call/U7 call received/lower layer failure	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55	TSPC_Type_UTRAN		
26.8.1.3.4.6	Incoming call/U7 call received/unknown message received	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.4.7	Incoming call/U7 call received/TCH assignment	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.4.8	Incoming call/U7 call received/RELEASE COMPLETE received	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.5.1	Incoming call/U8 connect request/CONNECT acknowledged	Phase 2	MS supporting at least one MT circuit switched basic service		C31	TSPC_AddInfo_ImmConn		
26.8.1.3.5.2	Incoming call/U8 connect request/timer T313 time-out	Phase 2	MS supporting at least one MT circuit switched basic service		C31	TSPC_AddInfo_ImmConn		
26.8.1.3.5.3	Incoming call/U8 connect request/termination requested by the user	Phase 2	MS supporting at least one MT circuit switched basic		C31	TSPC_AddInfo_ImmConn		
26.8.1.3.5.4	Incoming call/U8 connect request/DISCONNECT received with in-band information	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.5.5	Incoming call/U8 connect request/DISCONNECT received without in-band information	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.5.6	Incoming call/U8 connect request/RELEASE received	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.5.7	Incoming call/U8 connect request/lower layer failure	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55	TSPC_Type_UTRAN		
26.8.1.3.5.8	Incoming call/U8 connect request/TCH assignment	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.3.5.9	Incoming call/U8 connect request/unknown message received	Phase 2	MS supporting at least one MT circuit switched basic service for which immediate connect is not used		C55			
26.8.1.4.1.1	In-call functions/DTMF information transfer/basic procedures	Phase 2	MS supporting at least one MO circuit switched basic service for telephony		C606			
26.8.1.4.2.1	In-call functions/User notification/MS terminated	Phase 2	MS supporting at least one MT circuit switched basic service		C31			
26.8.1.4.3.1	In-call functions/channel changes/a successful channel change in active state/ Handover and Assignment Command	Phase 2	MS supporting at least one MT circuit switched basic service		C31			
26.8.1.4.3.2	In-call functions/channel changes/an unsuccessful channel change in active mode/ Handover and Assignment Command	Phase 2	MS supporting at least one MT circuit switched basic service		C31			
26.8.1.4.4.1	In-call functions/MS terminated in-call modification/modify when new mode is not supported	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58	TSPC_AddInfo_InCallMod		
26.8.1.4.5.1	In-call functions/MS originated in-call modification/a successful case of modifying	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58			
26.8.1.4.5.2	In-call functions/MS originated in-call modification/modify rejected	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58			
26.8.1.4.5.3	In-call functions/MS originated in-call modification/an abnormal case of acceptance	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58			
26.8.1.4.5.4	In-call functions/MS originated in-call modification/an abnormal case of rejection	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58			
26.8.1.4.5.5	In-call functions/MS originated in-call modification/time-out of timer T323	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58			
26.8.1.4.5.6	In-call functions/MS originated in-call modification/a successful channel change in state mobile originating modify	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58			
26.8.1.4.5.7	In-call functions/MS originated in-call modification/an unsuccessful channel change in state mobile originating modify	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58			
26.8.1.4.5.8	In-call functions/MS originated in-call modification/unknown message received	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58			
26.8.1.4.5.9	In-call functions/MS originated in-call modification/a release complete received	Phase 2	MS supporting at least one dual mode bearer capability service (BS61, BS81 or TS61)		C58			
26.8.2.1	Call Re-establishment/call present, re-establishment allowed	Phase 2	MS supporting at least one MO circuit switched basic service and supporting at least one teleservice (except emergency call and dual service)		C510	TSPC_AddInfo_Full_rate_version_1 TSPC_AddInfo_Half_rate_version_1		
26.8.2.2	Call Re-establishment/call present, re-establishment not allowed	Phase 2	MS supporting at least one MO circuit switched basic service and supporting at least one teleservice (except emergency call and dual service)		C510	TSPC_AddInfo_Full_rate_version_1 TSPC_AddInfo_Half_rate_version_1		
26.8.2.3	Call Re-establishment/call under establishment, transmission stopped	Phase 2	MS supporting at least one MO circuit switched basic service and supporting at least one teleservice (except emergency call and dual service)		C510	TSPC_AddInfo_Full_rate_version_1 TSPC_AddInfo_Half_rate_version_1		
26.8.3	User to user signalling	R96	MS supporting at least one MT circuit switched basic service and support of User-to-User signalling		C450			
26.9.2	Structured procedures/MS originated call/early assignment	Phase 2	MS supporting at least one teleservice (except emergency call and dual service)		C131	TSPC_AddInfo_Full_rate_version_1 TSPC_AddInfo_Half_rate_version_1		
26.9.3	Structured procedures/MS originated call/late assignment	Phase 2	MS supporting at least one teleservice (except emergency call and dual service)		C131	TSPC_AddInfo_Full_rate_version_1 TSPC_AddInfo_Half_rate_version_1		
26.9.4	Structured procedures/MS terminated call/early assignment	Phase 2	MS supporting at least one teleservice (except emergency call and dual service)		C131	TSPC_AddInfo_Full_rate_version_1 TSPC_AddInfo_Half_rate_version_1 TSPC_AddInfo_ImmConn		
26.9.5	Structured procedures/MS terminated call/late assignment	Phase 2	MS supporting at least one teleservice (except emergency call and dual service)		C131	TSPC_AddInfo_Full_rate_version_1 TSPC_AddInfo_Half_rate_version_1 TSPC_AddInfo_ImmConn		
26.9.6.1.1	Structured procedures/emergency call/idle updated/preferred channel rate	Phase 2	MS supporting speech		C52	TSPC_AddInfo_Half_rate_version_1 TSPC_R99_Emerg		
26.9.6.1.2	Structured procedures/emergency call/idle updated, non-preferred channel rate	Phase 2	MS supporting half-rate speech		C13	TSPC_AddInfo_Half_rate_version_1 TSPC_R99_Emerg		
26.9.6.1.3	Structured procedures / emergency call / EAB active	Rel-10	MS supporting LAP and EAB		C600			
26.9.6.2.1	Structured procedures/emergency call/idle, no IMSI/accept case	Phase 2	MS supporting speech		C52			
26.9.6.2.2	Structured procedures/emergency call/idle, no IMSI/reject case	Phase 2	MS supporting speech		C52			
26.9.6a.1.1	Void							
26.9.6a.1.2	Test eCall using eCall capable MS with “eCall only” subscription on USIM	Rel-8	MS supporting eCall only subscription		C552			
26.9.6a.1.3	Manually initiated eCall using eCall capable MS with ’eCall only’ subscription on USIM	Rel-8	MS supporting eCalll only subscription		C552			
26.9.6a.1.4	Manually initiated eCall using eCall capable MS with eCall capable USIM	Rel-8	MS supporting eCall		C490			
26.9.6a.1.5	eCall Inactivity State after T3242 expires	Rel-8	MS supporting eCalll only subscription		C552			
26.9.6a.1.6	Automatically initiated eCall	Rel-8	MS supporting eCall		C490			
26.9.6a.1.7	Reconfiguration eCall using eCall capable MS with ‘eCall only’ subscription on USIM	Rel-8	MS supporting eCalll only subscription		C552			
26.9.6a.1.8	eCall Inactivity State after T3243 expires	Rel-8	MS supporting eCalll only subscription		C552			
26.9.7	Directed Retry/Mobile Originated Call	Phase 2	MS supporting at least one teleservice (except emergency call and dual service)		C131	TSPC_AddInfo_Half_rate_version_1		
26.9.8	Directed Retry/Mobile Terminated Call	Phase 2	MS supporting at least one teleservice (except emergency call and dual service)		C131	TSPC_AddInfo_Half_rate_version_1 TSPC_AddInfo_ImmConn		
26.10.2.1	E-GSM or R-GSM or ER-GSM signalling/RR/Measurement	Phase 2	MS supporting E-GSM or R-GSM and supporting CC protocol for at least one Bearer Capability	L5	C123	TSPC_Type_GSM_R_Band TSPC_Type_ER_GSM_Band		
26.10.2.2	E-GSM or R-GSM or ER-GSM signalling/RR/Immediate assignment	Phase 2	MS supporting E-GSM or R-GSM	L5	C124	TSPC_Type_GSM_R_Band TSPC_Type_ER_GSM_Band		
26.10.2.3	E-GSM or R-GSM or ER-GSM signalling/RR/channel assignment procedure	Phase 2	MS supporting E-GSM or R-GSM	L5	C124	TSPC_Type_GSM_R_Band TSPC_Type_ER_GSM_Band TSPC_AddInfo_Full_rate_version_1		
26.10.2.4.1	E-GSM or R-GSM or ER-GSM signalling/RR/Handover/Successful handover	Phase 2	MS supporting E-GSM or R-GSM and supporting CC protocol for at least one Bearer Capability	L5	C123	TSPC_Type_GSM_R_Band TSPC_Type_ER_GSM_Band TSPC_AddInfo_Full_rate_version_1		
26.10.2.4.2	E-GSM or R-GSM or ER-GSM signalling/RR/Handover/layer 1 failure	Phase 2	MS supporting E-GSM or R-GSM and supporting CC protocol for at least one Bearer Capability	L5	C123	TSPC_Type_GSM_R_Band TSPC_Type_ER_GSM_Band TSPC_AddInfo_Full_rate_version_1		
26.10.2.5	E-GSM or R-GSM or ER-GSM signalling/RR/Frequency Redefinition	Phase 2	MS supporting E-GSM or R-GSM	L5	C124	TSPC_Type_GSM_R_Band TSPC_Type_ER_GSM_Band TSPC_AddInfo_Full_rate_version_1		
26.10.3.1	E-GSM or R-GSM or ER-GSM signalling/Structured procedure/Mobile originated call	Phase 2	MS supporting E-GSM or R-GSM and supporting at least one MO teleservice	L5	C125	TSPC_Type_GSM_R_Band TSPC_Type_ER_GSM_Band TSPC_AddInfo_Full_rate_version_1		
26.10.3.2	E-GSM or R-GSM or ER-GSM signalling/Structured procedures/emergency call	Phase 2	MS supporting E-GSM or R-GSM and supporting speech	L5	C126	TSPC_Type_GSM_R_Band TSPC_Type_ER_GSM_Band TSPC_AddInfo_Full_rate_version_1		
26.11.2.1	Multiband signalling/RR/Immediate assignment procedure	Phase 2	MS supporting simultaneous multiband operation		C76	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band		
26.11.2.2.1	Multiband signalling/RR/Handover/successful/active call/non-synchronized	Phase 2	MS supporting simultaneous multiband operation and supporting CC protocol for at least one Bearer Capability		C78	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band		
26.11.2.2.2	Multiband signalling/RR/Handover/layer 1 failure	Phase 2	MS supporting simultaneous multiband operation and supporting CC protocol for at least one Bearer Capability		C78	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band		
26.11.2.2.3	Multiband signalling/RR/Handover/Multiband BCCH/successful/active call/non synchronized	Phase 2	MS supporting simultaneous multiband operation and supporting CC protocol		C78	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band		
26.11.2.2.4	Multiband signalling/RR/Handover/ Multiband BCCH/Intracell Handover - Interband Assignment	Phase 2	MS supporting simultaneous multiband operation and supporting CC protocol		C78	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band TSPC_AddInfo_HalfRate		
26.11.2.3	Multiband signalling/RR/Measurement reporting	Phase 2	MS supporting simultaneous multiband operation and supporting CC protocol for at least one Bearer Capability		C78	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band		
26.11.3.1.1	Multiband signalling/MM/Location updating/accepted	Phase 2	MS supporting simultaneous multiband operation		C76	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band		
26.11.3.1.2	Multiband signalling/MM/Location updating/periodic	Phase 2	MS supporting simultaneous multiband operation		C76	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band		
26.11.5.1	Multiband signalling/Structured procedures/MS originated call/early assignment	Phase 2	MS supporting simultaneous multiband operation and supporting at least one MO teleservice		C127	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band		
26.11.5.2	Multiband signalling/Structured procedures/MS terminated call/late assignment	Phase 2	MS supporting simultaneous multiband operation and supporting at least one MT teleservice		C127	TSPC_Type_GSM_450_Band TSPC_Type_GSM_P_Band TSPC_Type_GSM_E_Band TSPC_Type_GSM_480_Band TSPC_Type_DCS_Band TSPC_Type_GSM_750_Band TSPC_Type_GSM_710_Band		
26.12.1	EFR signalling/test of the channel mode modify procedure	Phase 2	MS supporting EFR speech		C83	TSPC_AddInfo_Full_rate_version_3 TSPC_AddInfo_24DataF TSPC_AddInfo_48DataF TSPC_AddInfo_96Data		
26.12.2.1-1	EFR signalling/Handover/active call/successful case, M=1	Phase 2	MS supporting EFR speech		C83			
26.12.2.1-2	EFR signalling/Handover/active call/successful case, M=2	Phase 2	MS supporting EFR speech		C83			
26.12.2.1-3	EFR signalling/Handover/active call/successful case, M=3	Phase 2	MS supporting EFR speech		C83			
26.12.2.1-4	EFR signalling/Handover/active call/successful case, M=4	Phase 2	MS supporting EFR speech		C83			
26.12.2.1-5	EFR signalling/Handover/active call/successful case, M=5	Phase 2	MS supporting EFR speech		C83			
26.12.2.1-6	EFR signalling/Handover/active call/successful case, M=6	Phase 2	MS supporting EFR speech		C83			
26.12.2.1-7	EFR signalling/Handover/active call/successful case, M=7	Phase 2	MS supporting EFR speech		C83			
26.12.2.1-8	EFR signalling/Handover/active call/successful case, M=8	Phase 2	MS supporting EFR speech		C83			
26.12.2.1-9	EFR signalling/Handover/active call/successful case, M=9	Phase 2	MS supporting EFR speech		C83			
26.12.2.1-10	EFR signalling/Handover/active call/successful case, M=10	Phase 2	MS supporting EFR speech and MS supporting half-rate speech		C477			
26.12.2.1-11	EFR signalling/Handover/active call/successful case, M=11	Phase 2	MS supporting EFR speech and MS supporting half-rate speech		C477			
26.12.2.1-12	EFR signalling/Handover/active call/successful case, M=12	Phase 2	MS supporting EFR speech and MS supporting half-rate speech		C477			
26.12.2.1-13	EFR signalling/Handover/active call/successful case, M=13	Phase 2	MS supporting EFR speech and MS supporting half-rate speech		C477			
26.12.2.1-14	EFR signalling/Handover/active call/successful case, M=14	Phase 2	MS supporting EFR speech and MS supporting half-rate speech		C477			
26.12.2.1-15	EFR signalling/Handover/active call/successful case, M=15	Phase 2	MS supporting EFR speech and MS supporting half-rate speech		C477			
26.12.3	EFR signalling/Structured procedures/MS originated call/late assignment	Phase 2	MS supporting EFR speech and at least one MO circuit switched basic service		C84	TSPC_AddInfo_Half_rate_version_1		
26.12.4	EFR signalling/Structured procedures/MS terminated call/early assignment	Phase 2	MS supporting EFR speech and at least one MT circuit switched basic service		C85	TSPC_AddInfo_Half_rate_version_1 TSPC_AddInfo_ImmConn		
26.12.5	EFR signalling/Structured procedures/emergency call	Phase 2	MS supporting EFR speech		C83	TSPC_AddInfo_Half_rate_version_1 TSPC_R99_Emerg		
26.12.6	EFR Signalling/Directed Retry/Mobile Originated Call	Phase 2	MS supporting EFR speech		C83			
26.12.7	EFR Signalling/Directed Retry/Mobile Terminated Call	Phase 2	MS supporting EFR speech		C83	TSPC_AddInfo_ImmConn		
26.13.1.1.1	Multislot signalling/RR/Measurement symmetric	R96	MS supporting Multislot class and CC protocol for at least one Bearer Capability		C87	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.1.1.2	Multislot signalling/RR/Measurement asymmetric	R96	MS supporting Multislot class 2 and above and CC protocol for at least one Bearer Capability		C455	TSPC_Type_Multislot_ClassX (where X = 2..18)		
26.13.1.1.3	Multislot signalling/RR/Measurement asymmetric/Change of the reported subchannel	R96	MS supporting Multislot class 2 and above and CC protocol for at least one Bearer Capability		C455	TSPC_Type_Multislot_ClassX (where X = 2..18)		
26.13.1.2.1	Multislot signalling/RR/Dedicated assignment/successful case	R96	HSCSD Multislot MS		C86	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.1.2.2	Multislot signalling/RR/Dedicated assignment/failure/general case	R96	HSCSD Multislot MS		C86	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.1.3.1	Multislot signalling/RR/Handover/successful/active call/non-synchronized	R96	MS supporting Multislot class and CC protocol for at least one Bearer Capability		C87	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.1.3.2	Multislot signalling/RR/Handover/successful/call under establishment/non-synchronized/resource upgrading	R96	MS supporting Multislot class 2 and above and CC protocol for at least one Bearer Capability		C455	TSPC_Type_Multislot_ClassX (where X = 2..18)		
26.13.1.3.3	Multislot signalling/RR/Handover/successful/active call/finely synchronized/resource downgrading	R96	MS supporting Multislot class 2 and above and CC protocol for at least one Bearer Capability		C455	TSPC_Type_Multislot_ClassX (where X = 2..18)		
26.13.1.3.4	Multislot signalling/RR/Handover/successful/call under establishment/finely synchronized/relocation of channels	R96	MS supporting Multislot class and CC protocol for at least one Bearer Capability		C87	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.1.3.5	Multislot signalling/RR/Handover/successful/call under establishment/pre- synchronized/resource upgrading	R96	MS supporting Multislot class 2 and above and CC protocol for at least one Bearer Capability		C455	TSPC_Type_Multislot_ClassX (where X = 2..18)		
26.13.1.4	Multislot signalling/RR/Test of the channel mode modify procedure	R96	MS supporting Multislot class and CC protocol for at least one Bearer Capability		C87	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.1.5	Multislot signalling/RR/Early classmark sending	R96	HSCSD Multislot MS		C86	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.2.1.1	Multislot signalling/CC/In-call functions/User initiated service level upgrade/successful	R96	MS supporting Multislot class 2 and above and CC protocol for at least one Bearer Capability		C455	TSPC_Type_Multislot_ClassX (where X = 2..18)		
26.13.2.1.2	Multislot signalling/CC/In-call functions/User initiated service level downgrade/successful	R96 	MS supporting Multislot class 2 and above and CC protocol for at least one Bearer Capability		C455	TSPC_Type_Multislot_ClassX (where X = 2..18)		
26.13.2.1.3	Multislot signalling/CC/In-call functions/User initiated service level upgrade/Time-out of T323	R96	MS supporting Multislot class 2 and above and CC protocol for at least one Bearer Capability		C455	TSPC_Type_Multislot_ClassX (where X = 2..18)		
26.13.2.1.4	Multislot signalling/CC/In-call functions/User initiated service level upgrade/modify reject	R96	MS supporting Multislot class 2 and above and CC protocol for at least one Bearer Capability		C455	TSPC_Type_Multislot_ClassX (where X = 2..18)		
26.13.3.1	Multislot signalling/Structured procedures/MS originated call/early assignment/HSCSD/non-transparent	R96	MS supporting Multislot class and at least one MO circuit switched basic service		C88	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.3.2	Multislot signalling/Structured procedures/MS originated call/late assignment/HSCSD/non-transparent	R96	MS supporting Multislot class and at least one MO circuit switched basic service		C88	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.3.3	Multislot signalling/Structured procedures/MS originated call/early assignment/HSCSD/transparent	R96	MS supporting Multislot class and at least one MO circuit switched basic service		C88	TSPC_Type_Multislot_ClassX (where X = 1..18)		
26.13.3.4	Multislot signalling/Structured procedures/MS terminated call/early assignment/HSCSD/non-transparent	R96	MS supporting Multislot class and at least one MT circuit switched basic service		C89	TSPC_Type_Multislot_ClassX (where X = 1..18) TSPC_AddInfo_ImmConn		
26.13.3.5	Multislot signalling/Structured procedures/MS terminated call/early assignment/HSCSD/transparent	R96	MS supporting Multislot class and at least one MT circuit switched basic service		C89	TSPC_Type_Multislot_ClassX (where X = 1..18) TSPC_AddInfo_ImmConn		
26.14.1.1	Notification/notification indication	R96	MS supporting VGCS or VBS listening		C104	TSPC_AddInfo_VBS_Originating TSPC_AddInfo_VGCS_Talking		
26.14.1.2	Notification/NCH position	R96	MS supporting VGCS or VBS listening		C104			
26.14.1.3	Notification/Reduced NCH monitoring	R96	MS supporting VGCS or VBS listening and reduced monitoring		C105	TSPC_AddInfo_VBS_Originating TSPC_AddInfo_VGCS_Talking		
26.14.1.4	Notification/limited service	R96	MS supporting VGCS or VBS listening		C104	TSPC_AddInfo_VGCS_Originating TSPC_AddInfo_VBS_Originating		
26.14.2.1	Paging/Paging indication	R96	MS supporting VGCS or VBS listening		C104	TSPC_AddInfo_VBS_Originating TSPC_AddInfo_VGCS_Talking TSPC_Serv_eMLPP TSPC_AddInfo_MonitorPCH_GroupTransmitMode		
26.14.2.2	Paging/Notification	R96	MS supporting VGCS or VBS listening		C104	TSPC_AddInfo_VBS_Originating TSPC_AddInfo_VGCS_Talking		
26.14.3.1	RR Procedures/frequency redefinition	R96	MS supporting VGCS talking or VBS originating		C106			
26.14.3.2	RR Procedures/assignment	R96	MS supporting VGCS talking or VBS originating		C106			
26.14.3.3	RR Procedures/handover/successful in group transmit mode	R96	MS supporting VGCS talking or VBS originating		C106			
26.14.3.4	RR Procedures/handover/successful at group call establishment	R96	MS supporting VGCS/VBS originating		C107			
26.14.3.5	RR Procedures/handover/failure	R96	MS supporting VGCS talking or VBS originating		C106			
26.14.3.6.1	RR Procedures/Measurement/all neighbours present	R96	MS supporting VGCS talking or VBS originating		C106			
26.14.4.1	Uplink Access/uplink investigation	R96	MS supporting VGCS talking		C108			
26.14.4.2	Uplink Access/uplink access	R96	MS supporting VGCS talking		C108			
26.14.4.3	Uplink Reply in VGCS receive mode	R96	MS supporting VGCS talking		C108			
26.14.5.1	Leaving group receive mode	R96	MS supporting VGCS/VBS listening		C104			
26.14.5.2	Leaving group transmit mode	R96	MS supporting VGCS talking		C108			
26.14.6.1	GCC/BCC Procedures/MO call establishment	R96	MS supporting VGCS/VBS originating		C107	TSPC_Serv_eMLPP		
26.14.6.2	GCC/BCC Procedures/Transaction Identifier	R96	MS supporting VGCS talking or VBS originating		C106			
26.14.6.3	GCC/BCC Procedures/Call Termination/originator/group transmit mode	R96	MS supporting VGCS/VBS originating		C107			
26.14.6.4	GCC/BCC Procedures/Call Termination/originator/ group receive mode	R96	MS supporting VGCS originating		C109	TSPC_AddInfo_Half_rate_version_1		
