Clause	Title	Release	Applicability	Tested Bands / CA-Configurations Selection	Branch	Additional Information
							
		Rel-12	C188	UE supporting E-UTRA and 4DL CA with FDD-TDD CA	E14		
7.6.1A.8	In-band blocking for 5DL CA	Rel-11	C221	UE supporting E-UTRA and 5DL with Intra-band non-contiguous CA or 5DL with Intra-band non-contiguous and Inter-band CA or 5DL with Intra-band contiguous and Inter-band CA or 5DL with Intra-band non-contiguous and Intra-band contiguous CA, or 5DL with Intra-band non-contiguous and Intra-band non-contiguous CA, or 5DL with Intra-band contiguous and Intra-band contiguous CA	E15	FDD 2Rx, FDD 4Rx, TDD 2Rx, TDD 4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
		Rel-12	C222	UE supporting E-UTRA and 5DL CA with inter-band CA, or 5DL CA with TDD Intra-band contiguous CA			
		Rel-12	C223	UE supporting E-UTRA and 5DL CA with FDD-TDD CA			
7.6.1B	In-band blocking for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
7.6.1D.1	In-band blocking for ProSe Direct Discovery	Rel-12	C163	UE supporting E-UTRA and ProSe direct discovery	D10	FDD, TDD	
							
7.6.1D.2	In-band blocking for ProSe Direct Communication	Rel-12	C162	UE supporting E-UTRA and ProSe direct communication	D10	FDD, TDD	
							
7.6.1E	In-band blocking for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
7.6.1EA	In-band blocking for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
7.6.1F	In-band blocking for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
7.6.2	Out of-band blocking	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
7.6.2_1	Out of-band blocking with 4 Rx antenna ports	Rel-10	C113a	UE supporting E-UTRA with 4Rx antenna ports	D09	FDD, TDD	
							
7.6.2A.1	Out of-band blocking for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.6.2A.2	Out of-band blocking for CA (intra-band contiguous DL CA without UL CA)	Rel-10	C20	UE supporting E-UTRA and intra-band contiguous DL CA	E08	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.6.2A.3	Out of-band blocking for CA (inter-band DL CA without UL CA)	Rel-10	C21	UE supporting E-UTRA and inter-band DL CA	E10	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-12	C146	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA			
		Rel-13	C207	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA under FS3	E12		
		Rel-13	C208	UE supporting E-UTRA and 2DL CA with TDD inter-band CA under FS3			
7.6.2A.4	Out of-band blocking for CA (intra-band non-contiguous DL CA without UL CA)	Rel-11	C43	UE supporting E-UTRA and intra-band non-contiguous DL CA but no UL CA	E09	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.6.2A.5	Out-of-band blocking for 3DL CA	Rel-10	C121	UE supporting E-UTRA and 3DL with intra-band contiguous CA or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA	E07	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C122	UE supporting E-UTRA and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA	E07		
							
		Rel-12	C123	UE supporting E-UTRA and 3DL CA with FDD-TDD CA	E07		
		Rel-13	C268	UE supporting E-UTRA and 3DL CA with FDD-TDD CA under FS3	E07		
		Rel-13	C269	UE supporting E-UTRA and 3DL CA with TDD-TDD CA under FS3	E07		
7.6.2A.7	Out-of-band blocking for 4DL CA	Rel-11	C187	UE supporting E-UTRA and 4DL with TDD Intra-band contiguous CA, or 4DL with Inter-band CA, or 4DL with Intra-band contiguous and Inter-band CA.	E14	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C211	UE supporting E-UTRA and 4DL with Intra-band non-contiguous and Inter-band CA, or 4DL with Intra-band non-contiguous and Intra-band contiguous CA or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA	E14		
							
		Rel-12	C188	UE supporting E-UTRA and 4DL CA with FDD-TDD CA	E14		
7.6.2A.8	Out-of-band blocking for 5DL CA	Rel-11	C221	UE supporting E-UTRA and 5DL with Intra-band non-contiguous CA or 5DL with Intra-band non-contiguous and Inter-band CA or 5DL with Intra-band contiguous and Inter-band CA or 5DL with Intra-band non-contiguous and Intra-band contiguous CA, or 5DL with Intra-band non-contiguous and Intra-band non-contiguous CA, or 5DL with Intra-band contiguous and Intra-band contiguous CA	E15	FDD 2Rx, FDD 4Rx, TDD 2Rx, TDD 4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
		Rel-12	C222	UE supporting E-UTRA and 5DL CA with inter-band CA, or 5DL CA with TDD Intra-band contiguous CA			
		Rel-12	C223	UE supporting E-UTRA and 5DL CA with FDD-TDD CA			
7.6.2B	Out-of-band blocking for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
7.6.2D.1	Out-of-band blocking for ProSe Direct Discovery	Rel-12	C163	UE supporting E-UTRA and ProSe direct discovery	D10	FDD, TDD	
							
7.6.2D.2	Out-of-band blocking for ProSe Direct Communication	Rel-12	C162	UE supporting E-UTRA and ProSe direct communication	D10	FDD, TDD	
							
7.6.2E	Out of-band blocking for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
7.6.2EA	Out of-band blocking for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
7.6.2F	Out-of-band blocking for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
7.6.3	Narrow band blocking	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
7.6.3_1	Out of-band blocking with 4 Rx antenna ports	Rel-10	C113a	UE supporting E-UTRA with 4Rx antenna ports	D09	FDD, TDD	
							
7.6.3A.1	Narrow band blocking for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.6.3A.2	Narrow band blocking for CA (intra-band contiguous DL CA without UL CA)	Rel-10	C20	UE supporting E-UTRA and intra-band contiguous DL CA	E08	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.6.3A.3	Narrow band blocking for CA (inter-band DL CA without UL CA)	Rel-10	C21	UE supporting E-UTRA and inter-band DL CA	E10	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-12	C146	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA			
		Rel-13	C207	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA under FS3	E12		
			C208	UE supporting E-UTRA and 2DL CA with TDD-TDD inter-band CA under FS3			
7.6.3A.4	Narrow band blocking for CA (intra-band non-contiguous DL CA without UL CA)	Rel-11	C43	UE supporting E-UTRA and intra-band non-contiguous DL CA but no UL CA	E09	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.6.3A.5	Narrow band blocking for 3DL CA	Rel-10	C121	UE supporting E-UTRA and 3DL with intra-band contiguous CA or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA	E07	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C122	UE supporting E-UTRA and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA	E07		
							
		Rel-12	C123	UE supporting E-UTRA and 3DL CA with FDD-TDD CA	E07		
7.6.3A.7	Narrow band blocking for 4DL CA	Rel-11	C187	UE supporting E-UTRA and 4DL with TDD Intra-band contiguous CA, or 4DL with Inter-band CA, or 4DL with Intra-band contiguous and Inter-band CA.	E14	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	TBD	UE supporting E-UTRA and 4DL with Intra-band non-contiguous and Inter-band CA, or 4DL with Intra-band non-contiguous and Intra-band contiguous CA or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA	E14		
							
		Rel-12	C188	UE supporting E-UTRA and 4DL CA with FDD-TDD CA	E14		
7.6.3A.8	Narrow band blocking for 5DL CA	Rel-11	C221	UE supporting E-UTRA and 5DL with Intra-band non-contiguous CA or 5DL with Intra-band non-contiguous and Inter-band CA or 5DL with Intra-band contiguous and Inter-band CA or 5DL with Intra-band non-contiguous and Intra-band contiguous CA, or 5DL with Intra-band non-contiguous and Intra-band non-contiguous CA, or 5DL with Intra-band contiguous and Intra-band contiguous CA	E15	FDD 2Rx, FDD 4Rx, TDD 2Rx, TDD 4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
		Rel-12	C222	UE supporting E-UTRA and 5DL CA with inter-band CA, or 5DL CA with TDD Intra-band contiguous CA			
		Rel-12	C223	UE supporting E-UTRA and 5DL CA with FDD-TDD CA			
7.6.3B	Narrow band blocking for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
7.6.3D.1	Narrow band blocking for ProSe Direct Discovery	Rel-12	C163	UE supporting E-UTRA and ProSe direct discovery	D10	FDD, TDD	
							
7.6.3D.2	Narrow band blocking for ProSe Direct Communication	Rel-12	C162	UE supporting E-UTRA and ProSe direct communication	D10	FDD, TDD	
							
7.6.3E	Narrow band blocking for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
7.6.3EA	Narrow band blocking for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
7.7	Spurious response	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
7.7_1	Spurious response with 4 Rx antenna ports	Rel-10	C113a	UE supporting E-UTRA with 4Rx antenna ports	D09	FDD, TDD	
							
7.7A.1	Spurious response for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.7A.2	Spurious response for CA (intra-band contiguous DL CA without UL CA)	Rel-10	C20	UE supporting E-UTRA and intra-band contiguous DL CA	E08	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.7A.3	Spurious response for CA (inter-band DL CA without UL CA)	Rel-10	C21	UE supporting E-UTRA and inter-band DL CA	E10	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-12	C146	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA			
		Rel-13	C207	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA under FS3	E12		
		Rel-13	C208	UE supporting E-UTRA and 2DL CA with TDD inter-band CA under FS3			
7.7A.4	Spurious response for CA (intra-band non-contiguous DL CA without UL CA)	Rel-11	C43	UE supporting E-UTRA and intra-band non-contiguous DL CA but no UL CA	E09	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.7A.5	Spurious response for 3DL CA	Rel-10	C121	UE supporting E-UTRA and 3DL with intra-band contiguous CA or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA	E07	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C122	UE supporting E-UTRA and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA	E07		
							
		Rel-12	C123	UE supporting E-UTRA and 3DL CA with FDD-TDD CA	E07		
		Rel-13	C268	UE supporting E-UTRA and 3DL CA with FDD-TDD CA under FS3	E07		
		Rel-13	C269	UE supporting E-UTRA and 3DL CA with TDD-TDD CA under FS3	E07		
7.7A.8	Spurious response for 5DL CA	Rel-11	C221	UE supporting E-UTRA and 5DL with Intra-band non-contiguous CA or 5DL with Intra-band non-contiguous and Inter-band CA or 5DL with Intra-band contiguous and Inter-band CA or 5DL with Intra-band non-contiguous and Intra-band contiguous CA, or 5DL with Intra-band non-contiguous and Intra-band non-contiguous CA, or 5DL with Intra-band contiguous and Intra-band contiguous CA	E15	FDD 2Rx, FDD 4Rx, TDD 2Rx, TDD 4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
		Rel-12	C222	UE supporting E-UTRA and 5DL CA with inter-band CA, or 5DL CA with TDD Intra-band contiguous CA			
		Rel-12	C223	UE supporting E-UTRA and 5DL CA with FDD-TDD CA			
7.7A.7	Spurious response for 4DL CA	Rel-11	C187	UE supporting E-UTRA and 4DL with TDD Intra-band contiguous CA, or 4DL with Inter-band CA, or 4DL with Intra-band contiguous and Inter-band CA.	E14	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C211	UE supporting E-UTRA and 4DL with Intra-band non-contiguous and Inter-band CA, or 4DL with Intra-band non-contiguous and Intra-band contiguous CA or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA	E14		
							
		Rel-12	C188	UE supporting E-UTRA and 4DL CA with FDD-TDD CA	E14		
7.7B	Spurious response for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
7.7D.1	Spurious response for ProSe Direct Discovery	Rel-12	C163	UE supporting E-UTRA and ProSe direct discovery	D10	FDD, TDD	
							
7.7D.2	Spurious response for ProSe Direct Communication	Rel-12	C162	UE supporting E-UTRA and ProSe direct communication	D10	FDD, TDD	
							
7.7E	Spurious response for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
7.7EA	Spurious response for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
7.7F	Spurious response for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
7.8.1	Wide band Intermodulation	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
7.8.1_1	Wide band Intermodulation with 4 Rx antenna ports	Rel-10	C113a	UE supporting E-UTRA with 4Rx antenna ports	D09	FDD, TDD	
							
7.8.1A.1	Wide band Intermodulation for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.8.1A.2	Wide band Intermodulation for CA (intra-band contiguous DL CA without UL CA)	Rel-10	C20	UE supporting E-UTRA and intra-band contiguous DL CA	E11	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.8.1A.3	Wide band Intermodulation for CA (inter-band DL CA without UL CA)	Rel-10	C21	UE supporting E-UTRA and inter-band DL CA	E12	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-12	C146	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA			
		Rel-13	C207	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA under FS3	E12		
		Rel-13	C208	UE supporting E-UTRA and 2DL CA with TDD-TDD inter-band CA under FS3			
7.8.1A.4	Wide band Intermodulation for CA (intra-band non-contiguous DL CA without UL CA)	Rel-11	C43	UE supporting E-UTRA and intra-band non-contiguous DL CA but no UL CA	E09	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.8.1A.5	Wideband intermodulation for 3DL CA	Rel-10	C121	UE supporting E-UTRA and 3DL with intra-band contiguous CA or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA	E07	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C122	UE supporting E-UTRA and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA	E07		
							
		Rel-12	C123	UE supporting E-UTRA and 3DL CA with FDD-TDD CA	E07		
		Rel-13	C268	UE supporting E-UTRA and 3DL CA with FDD-TDD CA under FS3	E07		
		Rel-13	C269	UE supporting E-UTRA and 3DL CA with TDD-TDD CA under FS3	E07		
7.8.1A.7	Wideband intermodulation for 4DL CA	Rel-11	C187	UE supporting E-UTRA and 4DL with TDD Intra-band contiguous CA, or 4DL with Inter-band CA, or 4DL with Intra-band contiguous and Inter-band CA.	E14	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C211	UE supporting E-UTRA and 4DL with Intra-band non-contiguous and Inter-band CA, or 4DL with Intra-band non-contiguous and Intra-band contiguous CA or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA	E14		
							
		Rel-12	C188	UE supporting E-UTRA and 4DL CA with FDD-TDD CA	E14		
7.8.1A.8	Wideband intermodulation for 5DL CA	Rel-11	C221	UE supporting E-UTRA and 5DL with Intra-band non-contiguous CA or 5DL with Intra-band non-contiguous and Inter-band CA or 5DL with Intra-band contiguous and Inter-band CA or 5DL with Intra-band non-contiguous and Intra-band contiguous CA, or 5DL with Intra-band non-contiguous and Intra-band non-contiguous CA, or 5DL with Intra-band contiguous and Intra-band contiguous CA	E15	FDD 2Rx, FDD 4Rx, TDD 2Rx, TDD 4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
		Rel-12	C222	UE supporting E-UTRA and 5DL CA with inter-band CA, or 5DL CA with TDD Intra-band contiguous CA			
		Rel-12	C223	UE supporting E-UTRA and 5DL CA with FDD-TDD CA			
7.8.1B	Wide band intermodulation for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
7.8.1D.1	Wide band Intermodulation for ProSe Direct Discovery	Rel-12	C163	UE supporting E-UTRA and ProSe direct discovery	D10	FDD, TDD	
							
7.8.1D.2	Wide band Intermodulation for ProSe Direct Communication	Rel-12	C162	UE supporting E-UTRA and ProSe direct communication	D10	FDD, TDD	
							
7.8.1E	Wide band Intermodulation for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
7.8.1EA	Wide band Intermodulation for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
7.8.1F	Wide band Intermodulation for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
7.9	Spurious emissions	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
7.9_1	Spurious emissions with 4 Rx antenna ports	Rel-10	C113a	UE supporting E-UTRA with 4Rx antenna ports	D09	FDD, TDD	
							
7.9A	Spurious emissions for CA	Rel-10	C120	UE supporting E-UTRA and inter-band DL CA with a DL-only band	E13	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.9E	Spurious emissions for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
7.9EA	Spurious emissions for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
	Performance Requirement
8.2.1.1.1	FDD PDSCH Single Antenna Port Performance	Rel-8	C01	UE supporting E-UTRA FDD	Each ""Test Number"" to be performed once, in a chosen band supporting tested BW	2Rx, 4Rx	Test execution not necessary if 8.2.1.1.1_A.1 or 8.2.1.1.1_A.2 is executed.
8.2.1.1.1_1	FDD PDSCH Single Antenna Port Performance (Release 9 and forward)	Rel-9	C31	UE supporting E-UTRA FDD (UE categories 1, 2)	Each ""Test Number"" to be performed once, in a chosen band supporting tested BW		Test execution not necessary if 8.2.1.1.1_A.1 or 8.2.1.1.1_A.2 is executed.
8.2.1.1.1_A.1	FDD PDSCH Single Antenna Port Performance for CA (2 DL CA)	Rel-10	C102	UE supporting E-UTRA FDD and intra-band contiguous DL CA or inter-band DL CA (UE Category >= 2)	Refer to 36.521-1 8.1.2.3	2Rx, 4Rx	Test execution not necessary if 8.2.1.1.1_A.2 or 8.2.1.1.1_A.3 or 8.2.1.1.1_A.4 or 8.13.1.2.2 or 8.13.1.2.3 or 8.13.1.2.4 or 8.13.1.2.5 is executed.
		Rel-11	C103	UE supporting E-UTRA FDD and Downlink Intra-band non-contiguous CA (UE Category >= 2)			
8.2.1.1.1_A.2	FDD PDSCH Single Antenna Port Performance for CA (3DL CA)	Rel-10	C124	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA (UE Category >= 5)	Refer to 36.521-1 8.1.2.3	2Rx, 4Rx	Test execution not necessary if 8.2.1.1.1_A.3 or 8.2.1.1.1_A.4 or 8.13.1.2.3 or 8.13.1.2.4 or 8.13.1.2.5 is executed.
		Rel-11	C125	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA (UE Category >= 5)	TBD	2Rx, 4Rx	
8.2.1.1.1_A.3	FDD PDSCH Single Antenna Port Performance for CA (4DL CA)	Rel-11	C214	UE supporting E-UTRA FDD and 4DL inter-band CA, or 4DL with intra-band contiguous and inter-band CA, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA (UE Category >= 8)	Refer to 36.521-1 8.1.2.3		Test execution not necessary if 8.2.1.1.1_A.4 or 8.13.1.2.4 or 8.13.1.2.5 is executed.
8.2.1.1.1_A.4	FDD PDSCH Single Antenna Port Performance for CA (5DL CA)	Rel-11	C215	UE supporting E-UTRA FDD and 5DL with intra-band contiguous and inter-band CA, or 5DL with intra-band non-contiguous and inter-band CA, or 5DL with intra-band non-contiguous and intra-band contiguous CA (UE Category 8, >= 11)	Refer to 36.521-1 8.1.2.3		Test execution not necessary if 8.13.1.2.5 is executed.
		Rel-12	C216	UE supporting E-UTRA FDD and 5DL with inter-band CA (UE Category 8, >= 11)	Refer to 36.521-1 8.1.2.3		
8.2.1.1.2	FDD PDSCH Single Antenna Port Performance with 1 PRB in presence of MBSFN	Rel-8	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.2.1	FDD PDSCH Transmit Diversity 2x2	Rel-8	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.2.1_1	FDD PDSCH Transmit Diversity 2x2 (Release 9 and forward)	Rel-9	C15	UE supporting E-UTRA FDD (UE category 1)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.2.2	FDD PDSCH Transmit Diversity 4x2	Rel-8	C09	UE supporting E-UTRA FDD and operating bands supporting 1,4 MHz Bandwidth	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.2.2_1	FDD PDSCH Transmit Diversity 4x2 (Release 9 and forward)	Rel-9	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.2.3_C.1	FDD PDSCH Transmit diversity 2x2 for eICIC (non-MBFSN ABS)	Rel-10	C29	UEs supporting E-UTRA FDD and Feature Group Indictor 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.2.3_E.1	FDD PDSCH Transmit diversity 2x2 for feICIC (non-MBFSN ABS)	Rel-11	C77	UE supporting E-UTRA FDD and CRS interference handling (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.2.4	FDD PDSCH Transmit Diversity 2x2 with TM3 Interference Model -- Enhanced Performance Requirement Type A	Rel-11	C44	UE supporting E-UTRA FDD and the enhanced performance requirements type A for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.2.5	FDD PDSCH Transmit Diversity 2x2 with TM2 Interference Model -- Enhanced Performance Requirement Type B	Rel-12	C150	UE supporting E-UTRA FDD and the enhanced performance requirements type B for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.2.6	FDD PDSCH Transmit Diversity 2x2 with TM9 Interference Model -- Enhanced Performance Requirement Type B	Rel-12	C150	UE supporting E-UTRA FDD and the enhanced performance requirements type B for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.2.1.3.1	FDD PDSCH Open Loop Spatial Multiplexing 2x2	Rel-8	C13b	UE supporting E-UTRA FDD (UE categories >=2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		Test execution not necessary if 8.2.1.3.1_A.1 or 8.2.1.3.1_A.2 is executed.
8.2.1.3.1_1	FDD PDSCH Open Loop Spatial Multiplexing 2x2 (Release 11 and forward)	Rel-11	 C13b	UE supporting E-UTRA FDD (UE categories >=2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		Test execution not necessary if 8.2.1.3.1_A.1 or 8.2.1.3.1_A.2 is executed.
8.2.1.3.1_A.1	FDD PDSCH Open Loop Spatial Multiplexing 2x2 for CA (2 DL CA)	Rel-10	C101	UE supporting E-UTRA FDD and intra-band contiguous DL CA or inter-band DL CA (UE Category >=2)	Refer to 36.521-1 8.1.2.3	2Rx, 4Rx	If 8.2.1.3.1_A.2 is executed for a CA capability, test execution is not necessary for that CA capability.
		Rel-11	C90	UE supporting E-UTRA FDD and intra-band non-contiguous DL CA (UE Category >= 2)			
8.2.1.3.1_A.2	FDD PDSCH Open Loop Spatial Multiplexing 2x2 for CA (3DL CA)	Rel-10	C124	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA(UE Category >= 5)	TBD	2Rx, 4Rx	
		Rel-11	C125	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA (UE Category >= 5)	TBD	2Rx, 4Rx	
8.2.1.3.1_A.3	FDD PDSCH Open Loop Spatial Multiplexing 2x2 for CA (4DL CA)	Rel-11	C214	UE supporting E-UTRA FDD and 4DL inter-band CA, or 4DL with intra-band contiguous and inter-band CA, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA (UE Category >= 8)	Refer to 36.521-1 8.1.2.3		
8.2.1.3.1_A.4	FDD PDSCH Open Loop Spatial Multiplexing 2x2 for CA (5DL CA)	Rel-11	C215	UE supporting E-UTRA FDD and 5DL with intra-band contiguous and inter-band CA, or 5DL with intra-band non-contiguous and inter-band CA, or 5DL with intra-band non-contiguous and intra-band contiguous CA (UE Category 8, >= 11)	Refer to 36.521-1 8.1.2.3		
		Rel-12	C216	UE supporting E-UTRA FDD and 5DL with inter-band CA (UE Category 8, >= 11)	Refer to 36.521-1 8.1.2.3		
8.2.1.3.1A_A.1	FDD Soft buffer management test for CA (2 DL CA)	Rel-10	C104	UE supporting E-UTRA FDD and intra-band contiguous DL CA or inter-band DL CA (UE category 3 and 4)	Refer to 36.521-1 8.1.2.3	2Rx, 4Rx	
