Clause	Title	Release	Applicability	Comments
Media use cases / Fixed Broadband Access
H.17.1	Originating Voice, add video remove video / Fixed Broadband Access	Rel-12	C122	UE supports MTSI and MTSI speech and MTSI video and SIP Digest without TLS and Fixed Broadband  and no preconditions
H.17.2	Terminating Voice, add video remove video / Fixed Broadband Access	Rel-12	C122	UE supports MTSI and MTSI speech and MTSI video and SIP Digest without TLS and Fixed Broadband  and no preconditions
RCS				
I.8.1a	Initial Registration / single / E-UTRA	n/a	C135	UE supports combined registration over E-UTRA
I.8.1b	Initial Registration / dual / E-UTRA	n/a	C136	UE supports registration to two IMS core networks over E-UTRA
I.8.1c	Initial Registration / single / WLAN	n/a	C137	UE supports combined registration over WLAN
I.8.1d	Initial Registration / dual / WLAN	n/a	C138	UE supports registration to two IMS core networks over WLAN
I.12.1a	MO voice call / single / E-UTRA	n/a	C139	UE supports voice call after combined registration over E-UTRA
I.12.1b	MO voice call / dual / E-UTRA	n/a	C140	UE supports voice call after dual registration over E-UTRA
I.12.1c	MO voice call / single / WLAN	n/a	C141	UE supports voice call after combined registration over WLAN
I.12.1d	MO voice call / dual / WLAN	n/a	C142	UE supports voice call after dual registration over WLAN
I.12.2a	RCS chat / single / E-UTRA	n/a	C143	UE supports RCS chat after combined registration over E-UTRA
I.12.2b	RCS chat / dual / E-UTRA	n/a	C144	UE supports RCS chat after dual registration over E-UTRA
I.12.2c	RCS chat / single / WLAN	n/a	C145	UE supports RCS chat after combined registration over WLAN
I.12.2d	RCS chat / dual / WLAN	n/a	C146	UE supports RCS chat after combined registration over E-UTRA
Registration / UE category M1
J.8.1	Initial Registration / UE category M1	Rel-13	C126	UE supports MTSI and UE category M1
Call control / UE category M1
J.12.1	MO MTSI speech call / UE category M1	Rel-13	C126	UE supports MTSI and UE category M1
J.12.2	MT MTSI speech call / UE category M1	Rel-13	C126	UE supports MTSI and UE category M1
Supplementary Services / UE category M1
J.15.1	Communication Waiting and answering the call / UE category M1	Rel-13	C127	UE supports MTSI and MTSI Communication Waiting and UE category M1
J.15.2	Communication Waiting and cancelling the call / UE category M1	Rel-13	C127	UE supports MTSI and MTSI Communication Waiting and UE category M1
J.15.3	Subscription to the MWI event package / UE category M1	Rel-13	C128	UE supports MTSI and MTSI Message Waiting Indication and UE category M1
J.15.4	Originating Identification Restriction / UE category M1	Rel-13	C129	UE supports MTSI and MTSI Originating Identification Restriction and UE category M1
J.15.5	Terminating Identification Restriction / UE category M1	Rel-13 	C130	UE supports MTSI and MTSI Terminating Identification Restriction and UE category M1
J.15.6	Communication forwarding on non reply: MO call initiation / UE category M1	Rel-13	C131	UE supports MTSI and MTSI Communication Diversion and UE category M1
Emergency Service over IMS / UE category M1
J.19.1	Emergency call with emergency registration / Success / Location information available / UE category M1	Rel-13	C132	UE supports IMS emergency services and is capable of obtaining location information and UE category M1
J.19.2	Emergency call with emergency registration / Success / Location information not available / UE category M1	Rel-13	C133	UE supports IMS emergency services and UE category M1
