Clause	Title	Release	Applicability	Comments	Number of TC Executions (informative)	Release RAT
8.2.1.24a	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH (Inter-band handover): Success	R99	C481d	UE supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service) and multiple FDD bands simultaneously.	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.2.1.25	Radio Bearer Establishment for transition from CELL_FACH to CELL_FACH (Frequency modification): Success	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.1.26	Void					
8.2.1.27	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (two radio links, start of HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.1.28	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (RB mapping for both DL DCH and HS-DSCH in cell without HS-DSCH support)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.1.29	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (Timing re-initialized hard handover to another frequency, uplink TFCS restriction and start of HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.1.30	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (Timing re-initialised hard handover to another frequency, start of HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.1.31	Radio Bearer Establishment for transition from CELL_FACH to CELL_DCH: Success (start of HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.1.32	Radio Bearer Establishment for transition from CELL_FACH to CELL_DCH: Success (start of HS-DSCH reception with frequency modification)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.1.33	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (Unsynchronised RL Reconfiguration)	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.2.1.34	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (Unsynchronised RL Reconfiguration with frequency modification)	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.2.1.34a	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (Unsynchronised RL Reconfiguration with inter-band handover)	R99	C481d	UE supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service) and multiple FDD bands simultaneously.	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.2.1.35	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (start of E-DCH transmission)	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
8.2.1.36	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (hard handover to another frequency, start of E-DCH transmission)	Rel-6 only	C564	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
8.2.1.36a	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (hard handover to another frequency, start of E-DCH transmission, F-DPCH configured)	Rel-6	C560	UEs supporting FDD and HS-PDSCH and E-DPDCH and fully supporting F-DPCH	1 Execution: PS	
8.2.1.37	Void					
8.2.1.38	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (start of discontinuous uplink transmission)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.1.39	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (start of HS-SCCH less operation)	Rel-7	C580	UEs supporting FDD and HS-SCCH less operation	1 Execution: PS	
8.2.1.40	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (hard handover to another frequency, start of discontinuous uplink transmission)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.1.41	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (UL DPCCH slot format #4)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.1.42	Radio Bearer Establishment for transition from CELL_FACH (Enhanced UL/DL) to CELL_DCH : Success (with ongoing HS-DSCH reception and E-DCH transmission)	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS	
8.2.1.44.1	Radio Bearer Establishment for transition between CELL_DCH & CELL_DCH with SRB on DCH: Successful Activation of 3C-HSDPA for single band	Rel-10	C851a	UEs supporting FDD and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Single band Carrier Combination (3)	1 Execution: PS	
8.2.1.44.2	Radio Bearer Establishment for transition between CELL_DCH & CELL_DCH with SRB on DCH :Successful Activation of 3C-HSDPA for dual bands (1-2)	Rel-10	C860a	UEs supporting FDD and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (1,2)	1 Execution: PS	
8.2.1.44.3	Radio Bearer Establishment for transition between CELL_DCH & CELL_DCH with SRB on DCH: Successful Activation of 3C-HSDPA for dual band (2-1)	Rel-10	C861a	UEs supporting FDD and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (2,1)	1 Execution: PS	
8.2.1.44.4	Radio Bearer Establishment for transition between CELL_DCH & CELL_DCH with SRB on DCH: Successful Activation of 4C-HSDPA for dual band(3,1)	Rel-10	C862a	UEs supporting FDD and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (3,1)	1 Execution: PS	
8.2.1.44.5	Radio Bearer Establishment for transition between CELL_DCH & CELL_DCH with SRB on DCH: Successful Activation of 4C-HSDPA for dual band(2,2)	Rel-10	C863a	UEs supporting FDD and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (2,2)	1 Execution: PS	
8.2.1.45.1	Radio Bearer Establishment for transition between CELL_DCH and CELL_DCH with SRBs mapped on DCH: Successful Activation of 2cell/single frequency Multiflow HSDPA , intra-NodeB	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA andSingle Band – Single Frequency and Dual Cell combination (SB-SF-DC)	1 Execution: PS	
8.2.1.45.2	Radio Bearer Establishment for transition between CELL_DCH and CELL_DCH with SRBs mapped on DCH: Successful Activation of 3 cell/two frequencies Multiflow HSDPA for Single band, intra-NodeB	Rel-11	C915	UEs supporting FDD and Multiflow HSDPA andSingle Band – Dual Frequency and Three Cell combination (SB-DF-3C)	1 Execution: PS	
8.2.1.45.3	Radio Bearer Establishment for transition between CELL_DCH and CELL_DCH with SRBs mapped on DCH: Successful Activation of 3 cells/two frequencies Multiflow HSDPA for Dual Bands, intra-NodeB	Rel-11	C916	UEs supporting FDD and Multiflow HSDPA andDual Band – Dual Frequency and Three Cell combination (DB-DF-3C)	1 Execution: PS	
8.2.1.46.1	Radio Bearer Establishment for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation of 2cell/single frequency Multiflow HSDPA for single band, inter-NodeB, 16QAM/64QAM, 16QAM, assisting serving cell as time reference cell.	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA and Single Band – Single Frequency and Dual Cell combination (SB-SF-DC)	1 Execution: PS	
8.2.1.46.2	Radio Bearer Establishment for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation of 3 cell/two frequencies Multiflow HSDPA for single band, inter-NodeB, 16QAM/64QAM, 16QAM, assisting serving cell as time reference cell.	Rel-11	C915	UEs supporting FDD and Multiflow HSDPA and Single Band – Dual Frequency and three Cell combination (SB-DF-3C)	1 Execution: PS	
8.2.1.46.3	Radio Bearer Establishment for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation of 3 cell/two frequencies Multiflow HSDPA for dual bands, inter-NodeB, 16QAM/64QAM, 16QAM, assisting serving cell as time reference cell.	Rel-11	C916	UEs supporting FDD and Multiflow HSDPA and Dual Band – Dual Frequency and Three Cell combination (DB-DF-3C)	1 Execution: PS	
8.2.1.47	Radio Bearer Establishment for transition between CELL_DCH and CELL_DCH with SRBs mapped on DCH: Successful Activation of DCH Enhancements in Basic Mode	Rel-12	C917	UEs supporting DCH Enhancements in Basic Mode	1 Execution:CS	
8.2.1.48	Radio Bearer Establishment for transition between CELL_DCH and CELL_DCH with SRBs mapped on DCH: Successful Activation of DCH Enhancements in Full Mode	Rel-12	C918	UEs supporting DCH Enhancements in Full Mode	1 Execution:CS	
8.2.2.1	RRC / Radio Bearer Reconfiguration (Hard Handover) from CELL_DCH to CELL_DCH: Success	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.2.2.2	RRC / Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Failure (Unsupported configuration)	R99	C01	UEs supporting FDD.		
8.2.2.3	Void					
8.2.2.4	RRC / Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Failure (Physical channel failure and reversion failure)	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.2.2.5	Void					
8.2.2.5a	Void					
8.2.2.6	Void					
8.2.2.7	RRC / Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (Continue and stop)	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.2.2.8	RRC / Radio Bearer Reconfiguration from CELL_DCH to CELL_FACH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.2.9	RRC / Radio Bearer Reconfiguration from CELL_DCH to CELL_FACH: Success (Cell re-selection)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.2.10	RRC / Radio Bearer Reconfiguration from CELL_FACH to CELL_DCH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.2.11	Radio Bearer Reconfiguration from CELL_FACH to CELL_DCH: Failure (Unsupported configuration)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.2.12	Void					
8.2.2.13	Void					
8.2.2.14	Void					
8.2.2.15	Void					
8.2.2.16	Void					
8.2.2.17	RRC / Radio Bearer Reconfiguration from CELL_FACH to CELL_FACH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.2.18	RRC / Radio Bearer Reconfiguration from CELL_FACH to CELL_FACH: Success (Cell re-selection)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.2.19	RRC / Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (Subsequently received)	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.2.2.20	Void					
8.2.2.21	Void					
8.2.2.22	Void					
8.2.2.23	RRC / Radio Bearer Reconfiguration from CELL_FACH to CELL_PCH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.2.24	Void					
8.2.2.25	Void					
8.2.2.26	RRC / Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (Incompatible Simultaneous Reconfiguration)	R99	C01	UEs supporting FDD.		
8.2.2.27	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH (Frequency modification): Success	R99	C01	UEs supporting FDD.		
8.2.2.28	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_FACH (Transport channel type switching with frequency modification): Success	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.2.29	Void					
8.2.2.30	Void					
8.2.2.31	Radio Bearer Reconfiguration for transition from CELL_FACH to CELL_DCH (Frequency modification): Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.2.32	Radio Bearer Reconfiguration for transition from CELL_FACH to CELL_FACH (Frequency modification): Success	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.2.33	Void					
8.2.2.34	Radio Bearer Reconfiguration for transition from CELL_FACH to URA_PCH (Frequency modification): Success	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.2.35	Radio Bearer Reconfiguration from CELL_DCH to CELL_FACH: Successful channel switching with multiple PS RABs established	R99	C358	UEs supporting FDD and supporting PS bearer service and secondary PDP context activation.	1 Execution: PS	
8.2.2.36	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Start and stop of HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.2.37	Radio Bearer Reconfiguration for transition from CELL_FACH to CELL_DCH and from CELL_DCH to CELL_FACH: Success (start and stop of HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH		
8.2.2.38	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (with active HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.2.39	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Timing re-initialised hard handover to another frequency, start and stop of HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.2.40	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_FACH and from CELL_FACH to CELL_DCH: Success (frequency modification, start and stop of HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.2.41	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (start and stop of HS-DSCH reception, during an active CS bearer)	Rel-5	C393	UEs supporting FDD and PS domain services and CS domain services, speech or transparent CS data and HS-PDSCH.	1 Execution: CS+PS	
8.2.2.42	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Timing re-initialised hard handover to another frequency, start and stop of HS-DSCH reception, during an active CS bearer)	Rel-5	C393	UEs supporting FDD and PS domain services and CS domain services, speech or transparent CS data and HS-PDSCH.	1 Execution: CS+PS	
8.2.2.43	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Seamless SRNS relocation, without pending of ciphering, frequency modification)	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.2.2.43a	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Seamless SRNS relocation, UEA2/UIA2, without pending of ciphering, frequency modification)	Rel-7	C659	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service) and supporting UEA2/UIA2.  Note: For UEs for which test case 8.2.2.43a is applicable then test case 8.2.2.43 is optional (8.2.2.43 considered implicitly covered by 8.2.2.43a).	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS 	
8.2.2.43b	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Seamless SRNS relocation, change of ciphering and integrity protection algorithms, frequency modification)	Rel-7	C659	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service) and supporting UEA2/UIA2	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS 	
8.2.2.44	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (With active E-DCH transmission)	Rel-6 only	C564	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
8.2.2.44a	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (With active E-DCH transmission, F-DPCH configured)	Rel-6	C560	UEs supporting FDD and HS-PDSCH and E-DPDCH and fully supporting F-DPCH	1 Execution: PS	
8.2.2.45	Radio Bearer Reconfiguration for transition from CELL_FACH to CELL_DCH and CELL_DCH to CELL_FACH: Success (start and stop of E-DCH transmission)	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
8.2.2.46	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (hard handover to another frequency, start and stop of E-DCH transmission)	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
8.2.2.47	Radio Bearer Reconfiguration for transition from CELL_FACH to CELL_DCH and CELL_DCH to CELL_FACH: Success (frequency modification, start and stop of E-DCH transmission)	Rel-6 only	C564	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
8.2.2.47a	Radio Bearer Reconfiguration for transition from CELL_FACH to CELL_DCH and CELL_DCH to CELL_FACH: Success (frequency modification, start and stop of E-DCH transmission, F_DPCH configured)	Rel-6	C560	UEs supporting FDD and HS-PDSCH and E-DPDCH and fully supporting F-DPCH	1 Execution: PS	
8.2.2.48	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Start and stop of E-DCH transmission)	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
8.2.2.49	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_PCH: Success (stop of E-DCH transmission)	Rel-6	C408	UEs supporting FDD and HS-PDSCH and E-DPDCH	1 Execution: PS	
8.2.2.50	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (from speech to speech plus PS data with modification of downlink spreading factor)	Rel-5	C595	UEs supporting FDD and PS domain services and speech.	1 Execution: CS+PS	
8.2.2.51	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (With active discontinuous uplink transmission)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.2.52	Radio Bearer Reconfiguration for transition from CELL_FACH to CELL_DCH and CELL_DCH to CELL_FACH: Success (start and stop of discontinuous uplink transmission)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.2.53	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (hard handover to another frequency, start and stop of discontinuous uplink transmission)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.2.54	Radio Bearer Reconfiguration for transition from CELL_FACH to CELL_DCH and CELL_DCH to CELL_FACH: Success (frequency modification, start and stop of discontinuous uplink transmission)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.2.55	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Start and stop of discontinuous uplink transmission)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.2.56	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_PCH: Success (stop of discontinuous uplink transmission)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.2.57	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (Reconfiguration between fixed and flexible AM RLC, Serving HS-DSCH cell change between MAC-hs and MAC-ehs)	Rel-7	C660	UEs supporting FDD and MAC-ehs and fully supporting F-DPCH.	1 Execution: PS	
8.2.2.57a	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (Reconfiguration between fixed and flexible AM RLC, Serving HS-DSCH cell change between MAC-hs and MAC-ehs) with SRB mapped on E-DCH/DCH	Rel-7	C578	UEs supporting FDD and MAC-ehs	1 Execution: PS	
8.2.2.58	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Reconfigurations between CS voice over DCH and CS voice over HSPA)	Rel-7	C592	UEs supporting FDD and CS Voice over HSPA  Note: CS Voice over HSPA is an optional Rel-8 feature that may be implemented in Rel-7 UEs.	1 Execution: CS	
8.2.2.59	Radio Bearer Reconfiguration from Cell FACH ( Cell supporting HS-DSCH in Cell FACH) to CELL_FACH( Cell not supporting HS-DSCH in Cell FACH): Success (Cell re-selection)	Rel-7	C591	UEs supporting FDD and HS-PDSCH in CELL_FACH	1 Execution: PS	
8.2.2.60	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_FACH and CELL_FACH to CELL_DCH: Success (with HS-DSCH reception in Enhanced FACH DL)	Rel-7	C877	UEs supporting FDD and HS-PDSCH in CELL_FACH and fully supporting F-DPCH.	1 Execution: PS	
8.2.2.61	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (Reconfiguration between fixed and flexible AM RLC, Serving E-DCH cell change between MAC-e/es and MAC-i/is)	Rel-8	C638	UEs supporting FDD and MAC-i/is	1 Execution: PS	
8.2.2.62	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (activation and deactivation of MIMO)	Rel-7	C648	UE supporting FDD and MAC-ehs and (FDD HS-DSCH category 15 or FDD HS-DSCH category 16 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18 or FDD HS-DSCH category 19 or FDD HS-DSCH category 20)	1 Execution: PS	
8.2.2.63	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH: Success (activation and de-activation of 64QAM)	Rel-7	C654	UEs supporting FDD and MAC-ehs and fully supporting F-DPCH and (FDD HS-DSCH category 13 or FDD HS-DSCH category 14 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18)	1 Execution: PS	
8.2.2.63a	Radio Bearer Reconfiguration from CELL_DCH to CELL_DCH with SRBs on E-DCH/DCH: Success (activation and de-activation of 64QAM)	Rel-7	C784	UEs supporting FDD and MAC-ehs and (FDD HS-DSCH category 13 or FDD HS-DSCH category 14 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18)	1 Execution: PS	
8.2.2.64	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (simultaneous activation and deactivation of 64QAM and MIMO)	Rel-8	C663	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 19 or FDD HS-DSCH category 20)	1 Execution: PS	
8.2.2.65	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_FACH (Enhanced UL/DL) Success 	Rel-8	C647	UEs supporting FDD and E-DCH in CELL_FACH	1 Execution: PS	
8.2.2.68	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Success (simultaneous activation and deactivation of Dual-Cell and MIMO)	Rel-9	C791	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 25 or FDD HS-DSCH category 26 or FDD HS-DSCH category 27 or FDD HS-DSCH category 28 )	1 Execution: PS	
8.2.2.68a	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Success (simultaneous activation and deactivation of Dual-Cell for different bands and MIMO)	Rel-10	C791a	UEs supporting FDD and Support of dual band operation and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 25 or FDD HS-DSCH category 26 or FDD HS-DSCH category 27 or FDD HS-DSCH category 28 )	1 Execution: PS	
8.2.2.69	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Success (simultaneous activation and deactivation of Dual-Cell, MIMO and 64QAM)	Rel-9	C808	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 27 or FDD HS-DSCH category 28)	1 Execution: PS	
8.2.2.69a	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Success (simultaneous activation and deactivation of Dual-Cell for different bands, MIMO and 64QAM)	Rel-10	C808a	UEs supporting FDD and Support of dual band operation and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 27 or FDD HS-DSCH category 28)	1 Execution: PS	
8.2.2.70	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH with PCI Restrictions and S-CPICH Power Offset IEs: Success (64QAM +MIMO)	Rel-8	C663	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 19 or FDD HS-DSCH category 20)	1 Execution: PS	
8.2.2.71	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH with PCI Restrictions and S-CPICH Power Offset IEs: Success (16QAM +MIMO)	Rel-7	C648	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 15 or FDD HS-DSCH category 16 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18 or FDD HS-DSCH category 19 or FDD HS-DSCH category 20)	1 Execution: PS	
8.2.2.72	Radio Bearer Reconfiguration for S-CPICH based MIMO with DPCH in STTD (16QAM+MIMO)	Rel-7	C648	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 15 or FDD HS-DSCH category 16 or FDD HS-DSCH category 17 or FDD HS-DSCH category 18 or FDD HS-DSCH category 19 or FDD HS-DSCH category 20)	1 Execution: PS	
8.2.2.74	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Success Activation and Deactivation of Dual-Cell for different band.	Rel-9	C814	UEs supporting FDD and Support of dual band operation and (F-DPCH or Enhanced F-DPCH) and Dual Cell Operation 	1 Execution: PS	
8.2.2.75	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Success Activation and Deactivation of Dual-Cell for different bands and 64QAM.	Rel-9	C815	UEs supporting FDD and Support of dual band operation and (F-DPCH or Enhanced F-DPCH) and Dual Cell Operation and (FDD HS-DSCH category 23 or FDD HS-DSCH category 24)	1 Execution: PS	
8.2.2.76	Radio Bearer Reconfiguration for transition between CELL_FACH and CELL_DCH: Success (start and stop Dual-Cell HSUPA (QPSK) and Dual-Cell HSDPA (16QAM) operation)	Rel-9	C822	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and Dual Cell Operation and (FDD E.DCH category 8 or 9)	1 Execution: PS	
8.2.2.77	Radio Bearer Reconfiguration for transition between CELL_FACH and CELL_DCH: Success (Dual-Cell HSUPA (QPSK) and Dual-Cell HSDPA (64QAM))	Rel-9	C823	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and Dual Cell Operation and (FDD HS-DSCH category 23 or 24) and (FDD E.DCH category 8 or 9)	1 Execution: PS	
8.2.2.78	Radio Bearer Reconfiguration for transition between CELL_FACH and CELL_DCH: Success (Dual-Cell HSUPA 16QAM) and Dual-Cell HSDPA (16QAM))	Rel-9	C822a	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and Dual Cell Operation and FDD E.DCH category 9	1 Execution: PS	
8.2.2.79.1	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 3C-HSDPA Single Band, 64 QAM and MIMO	Rel-10	C852	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 30 or FDD HS-DSCH category 32) and Single band Carrier Combination (3)	1 Execution: PS	
8.2.2.79.2	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 3C-HSDPA Dual Bands, 64 QAM and MIMO (1-2)	Rel-10	C858	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 30 or FDD HS-DSCH category 32) (Dual band Carrier Combination (1,2))	1 Execution: PS	
8.2.2.79.3	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 3C-HSDPA Dual Bands, 64 QAM and MIMO (2-1)	Rel-10	C859	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 30 or FDD HS-DSCH category 32) (Dual band Carrier Combination (2,1))	1 Execution: PS	
8.2.2.79.4	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 4C-HSDPA Dual Bands, 64 QAM and MIMO (3-1)	Rel-10	C856	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and ( FDD HS-DSCH category 32) (Dual band Carrier Combination (3.1))	1 Execution: PS	
